mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
95	86	2507/8	2523/8	0.125		1/8	1/8	2/4	1	1	1/32		1/32	1		4	76	E5	5	1131
95	86	627/2	631/2	0.125		5/32	5/32	2/4	1	1	1/32		1/32	1		9	75	D#5	5	1132
95	86	2509/8	2525/8	0.125		3/16	3/16	2/4	1	1	1/32		1/32	1		4	76	E5	5	1133
95	86	1255/4	1263/4	0.125		7/32	7/32	2/4	1	1	1/32		1/32	1		6	78	F#5	5	1134
95	86	2511/8	2527/8	0.125		1/4	1/4	2/4	1	1	1/32		1/32	1		4	76	E5	5	1135
95	86	314	316	0.125		9/32	9/32	2/4	1	1	1/32		1/32	1		1	79	G5	5	1136
95	86	2513/8	2529/8	0.125		5/16	5/16	2/4	1	1	1/32		1/32	1		4	76	E5	5	1137
95	86	1257/4	1265/4	2.0		11/32	11/32	2/4	1	1	1/2		1/2	1	1	4	76	E5	5	1138
95	86	1265/4	1273/4	2.0		27/32	27/32	2/4	2	1	1/2		1/2	1		3	57	A3	3	1162
95	86	1265/4	1273/4	2.0		27/32	27/32	2/4	2	1	1/2		1/2	1		7	61	C#4	4	1162
95	86	1265/4	1273/4	2.0		27/32	27/32	2/4	2	1	1/2		1/2	1		1	67	G4	4	1162
95	86	1265/4	1273/4	0.25		27/32	27/32	2/4	1	1	1/16		1/16	1	-1	4	76	E5	5	1139
95	86	633/2	637/2	0.125		29/32	29/32	2/4	1	1	1/32		1/32	1		9	75	D#5	5	1140
95	86	2533/8	2549/8	0.125		15/16	15/16	2/4	1	1	1/32		1/32	1		4	76	E5	5	1141
95	86	1267/4	1275/4	0.125		31/32	31/32	2/4	1	1	1/32		1/32	1		6	78	F#5	5	1142
95	86	2535/8	2551/8	0.125		1	1	2/4	1	1	1/32		1/32	1		4	76	E5	5	1143
95	86	317	319	0.125		33/32	33/32	2/4	1	1	1/32		1/32	1		1	79	G5	5	1144
95	86	2537/8	2553/8	0.125		17/16	17/16	2/4	1	1	1/32		1/32	1		6	78	F#5	5	1145
95	86	1269/4	1277/4	0.125		35/32	35/32	2/4	1	1	1/32		1/32	1		3	81	A5	5	1146
95	86	2539/8	2555/8	0.125		9/8	9/8	2/4	1	1	1/32		1/32	1		1	79	G5	5	1147
95	86	635/2	639/2	0.125		37/32	37/32	2/4	1	1	1/32		1/32	1		6	78	F#5	5	1148
95	86	2541/8	2557/8	0.125		19/16	19/16	2/4	1	1	1/32		1/32	1		4	76	E5	5	1149
95	86	1271/4	1279/4	0.125		39/32	39/32	2/4	1	1	1/32		1/32	1		1	79	G5	5	1150
95	86	2543/8	2559/8	0.125		5/4	5/4	2/4	1	1	1/32		1/32	1		6	78	F#5	5	1151
95	86	318	320	0.125		41/32	41/32	2/4	1	1	1/32		1/32	1		4	76	E5	5	1152
95	86	2545/8	2561/8	0.125		21/16	21/16	2/4	1	1	1/32		1/32	1		2	74	D5	5	1153
95	86	1273/4	1281/4	0.25		43/32	43/32	2/4	1	1	1/16		1/16	1		6	78	F#5	5	1154
95	86	637/2	641/2	0.25		45/32	45/32	2/4	1	1	1/16		1/16	1		4	76	E5	5	1155
95	86	1275/4	1283/4	0.25		47/32	47/32	2/4	1	1	1/16		1/16	1		2	74	D5	5	1156
95	86	319	321	0.25		49/32	49/32	2/4	1	1	1/16		1/16	1		7	73	C#5	5	1157
95	86	1277/4	1285/4	0.5		51/32	51/32	2/4	1	1	1/8		1/8	1		4	76	E5	5	1158
95	86	1279/4	1287/4	0.5		55/32	55/32	2/4	1	1	1/8		1/8	1		2	74	D5	5	1159
95	86	1281/4	1289/4	0.5		59/32	59/32	2/4	1	1	1/8		1/8	1		7	73	C#5	5	1160
95	86	1283/4	1291/4	0.5		63/32	63/32	2/4	1	1	1/8		1/8	1		5	71	B4	4	1161
96	87	1285/4	1293/4	2.0		0	0	2/4	2	1	1/2		1/2	1		2	62	D4	4	1166
96	87	1285/4	1293/4	2.0		0	0	2/4	2	1	1/2		1/2	1		6	66	F#4	4	1166
96	87	1285/4	1293/4	1.0		0	0	2/4	1	1	1/4		1/4	1		3	69	A4	4	1163
96	87	1289/4	1297/4	0.5		1/4	1/4	2/4	1	1	1/8		1/8	1		6	78	F#5	5	1164
96	87	1291/4	1299/4	0.5		3/8	3/8	2/4	1	1	1/8		1/8	1		2	74	D5	5	1165
97	88	1293/4	1301/4	2.0		0	0	2/4	2	1	1/2		1/2	1	1	2	62	D4	4	1171
97	88	1293/4	1301/4	2.0		0	0	2/4	2	1	1/2		1/2	1	1	1	67	G4	4	1171
97	88	1293/4	1301/4	1.0		0	0	2/4	1	1	1/4		1/4	1		7	73	C#5	5	1167
97	88	1297/4	1305/4	0.5		1/4	1/4	2/4	1	1	1/8		1/8	1		5	71	B4	4	1168
97	88	1299/4	1307/4	0.25		3/8	3/8	2/4	1	1	1/16		1/16	1		1	79	G5	5	1169
97	88	325	327	0.25		7/16	7/16	2/4	1	1	1/16		1/16	1		4	76	E5	5	1170
98	89	1301/4	1309/4	2.0		0	0	2/4	2	1	1/2		1/2	1	-1	2	62	D4	4	1177
98	89	1301/4	1309/4	2.0		0	0	2/4	2	1	1/2		1/2	1		4	64	E4	4	1177
98	89	1301/4	1309/4	2.0		0	0	2/4	2	1	1/2		1/2	1	-1	1	67	G4	4	1177
98	89	1301/4	1309/4	0.5		0	0	2/4	1	1	1/8		1/8	1		2	74	D5	5	1172
98	89	1303/4	1311/4	0.5		1/8	1/8	2/4	1	1	1/8		1/8	1		7	73	C#5	5	1173
98	89	1303/4	1311/4	1.5		1/8	1/8	2/4	1	2	3/8		1/4	3/2		7	73	C#5	5	1176
98	89	1305/4	1313/4	0.5		1/4	1/4	2/4	1	1	1/8		1/8	1		5	83	B5	5	1174
98	89	1307/4	1315/4	0.5		3/8	3/8	2/4	1	1	1/8		1/8	1		3	81	A5	5	1175
99	90	1309/4	1317/4	1.0		0	0	2/4	2	1	1/4		1/4	1		2	62	D4	4	1185
99	90	1309/4	1317/4	1.0		0	0	2/4	2	1	1/4		1/4	1		6	66	F#4	4	1185
99	90	1309/4	1317/4	1.0		0	0	2/4	1	2	1/4		1/4	1		2	74	D5	5	1184
99	90	1309/4	1317/4	0.75		0	0	2/4	1	1	3/16		1/8	3/2		3	81	A5	5	1178
99	90	328	330	0.125		3/16	3/16	2/4	1	1	1/32		1/32	1		5	83	B5	5	1179
99	90	2625/8	2641/8	0.125		7/32	7/32	2/4	1	1	1/32		1/32	1		1	79	G5	5	1180
99	90	1313/4	1321/4	0.5		1/4	1/4	2/4	1	1	1/8		1/8	1		6	78	F#5	5	1181
99	90	1315/4	1323/4	0.25		3/8	3/8	2/4	1	1	1/16		1/16	1		3	81	A5	5	1182
99	90	329	331	0.25		7/16	7/16	2/4	1	1	1/16		1/16	1		6	78	F#5	5	1183
100	91	1317/4	1325/4	0.5		0	0	2/4	2	1	1/8		1/8	1		6	42	F#2	2	1190
100	91	1317/4	1325/4	0.5		0	0	2/4	2	1	1/8		1/8	1		6	54	F#3	3	1190
100	91	1317/4	1325/4	0.5		0	0	2/4	1	1	1/8		1/8	1		2	86	D6	6	1186
100	91	1319/4	1327/4	0.5		1/8	1/8	2/4	2	1	1/8		1/8	1		6	42	F#2	2	1191
100	91	1319/4	1327/4	0.5		1/8	1/8	2/4	2	1	1/8		1/8	1		6	54	F#3	3	1191
100	91	1319/4	1327/4	0.5		1/8	1/8	2/4	1	1	1/8		1/8	1		2	74	D5	5	1187
100	91	1319/4	1327/4	0.5		1/8	1/8	2/4	1	1	1/8		1/8	1		3	81	A5	5	1187
100	91	1319/4	1327/4	0.5		1/8	1/8	2/4	1	1	1/8		1/8	1		2	86	D6	6	1187
100	91	1321/4	1329/4	0.5		1/4	1/4	2/4	2	1	1/8		1/8	1		6	42	F#2	2	1192
100	91	1321/4	1329/4	0.5		1/4	1/4	2/4	2	1	1/8		1/8	1		6	54	F#3	3	1192
100	91	1321/4	1329/4	0.5		1/4	1/4	2/4	1	1	1/8		1/8	1		2	74	D5	5	1188
100	91	1321/4	1329/4	0.5		1/4	1/4	2/4	1	1	1/8		1/8	1		3	81	A5	5	1188
100	91	1321/4	1329/4	0.5		1/4	1/4	2/4	1	1	1/8		1/8	1		2	86	D6	6	1188
100	91	1323/4	1331/4	0.5		3/8	3/8	2/4	2	1	1/8		1/8	1		6	42	F#2	2	1193
100	91	1323/4	1331/4	0.5		3/8	3/8	2/4	2	1	1/8		1/8	1		6	54	F#3	3	1193
100	91	1323/4	1331/4	0.5		3/8	3/8	2/4	1	1	1/8		1/8	1		2	74	D5	5	1189
100	91	1323/4	1331/4	0.5		3/8	3/8	2/4	1	1	1/8		1/8	1		3	81	A5	5	1189
100	91	1323/4	1331/4	0.5		3/8	3/8	2/4	1	1	1/8		1/8	1		2	86	D6	6	1189
101	92	1325/4	1333/4	1.0		0	0	2/4	2	1	1/4		1/4	1		1	43	G2	2	1197
101	92	1325/4	1333/4	1.0		0	0	2/4	2	1	1/4		1/4	1		1	55	G3	3	1197
101	92	1325/4	1333/4	1.0		0	0	2/4	1	1	1/4		1/4	1		2	74	D5	5	1194
101	92	1325/4	1333/4	1.0		0	0	2/4	1	1	1/4		1/4	1		1	79	G5	5	1194
101	92	1325/4	1333/4	1.0		0	0	2/4	1	1	1/4		1/4	1		5	83	B5	5	1194
101	92	1331/4	1339/4	0.25		3/8	3/8	2/4	1	1	1/16		1/16	1		1	79	G5	5	1195
101	92	333	335	0.25		7/16	7/16	2/4	1	1	1/16		1/16	1		4	76	E5	5	1196
102	93	1333/4	1341/4	0.5		0	0	2/4	2	1	1/8		1/8	1		3	57	A3	3	1202
102	93	1333/4	1341/4	0.5		0	0	2/4	2	1	1/8		1/8	1		4	64	E4	4	1202
102	93	1333/4	1341/4	0.5		0	0	2/4	1	1	1/8		1/8	1		7	73	C#5	5	1198
102	93	1335/4	1343/4	0.5		1/8	1/8	2/4	2	1	1/8		1/8	1		3	57	A3	3	1203
102	93	1335/4	1343/4	0.5		1/8	1/8	2/4	2	1	1/8		1/8	1		4	64	E4	4	1203
102	93	1335/4	1343/4	0.5		1/8	1/8	2/4	1	1	1/8		1/8	1		1	67	G4	4	1199
102	93	1335/4	1343/4	0.5		1/8	1/8	2/4	1	1	1/8		1/8	1		7	73	C#5	5	1199
102	93	1337/4	1345/4	0.5		1/4	1/4	2/4	2	1	1/8		1/8	1		3	57	A3	3	1204
102	93	1337/4	1345/4	0.5		1/4	1/4	2/4	2	1	1/8		1/8	1		4	64	E4	4	1204
102	93	1337/4	1345/4	0.5		1/4	1/4	2/4	1	1	1/8		1/8	1		1	67	G4	4	1200
102	93	1337/4	1345/4	0.5		1/4	1/4	2/4	1	1	1/8		1/8	1		7	73	C#5	5	1200
102	93	1339/4	1347/4	0.5		3/8	3/8	2/4	2	1	1/8		1/8	1		3	57	A3	3	1205
102	93	1339/4	1347/4	0.5		3/8	3/8	2/4	2	1	1/8		1/8	1		4	64	E4	4	1205
102	93	1339/4	1347/4	0.5		3/8	3/8	2/4	1	1	1/8		1/8	1		1	67	G4	4	1201
102	93	1339/4	1347/4	0.5		3/8	3/8	2/4	1	1	1/8		1/8	1		7	73	C#5	5	1201
103	94	1341/4	1349/4	1.0		0	0	2/4	2	1	1/4		1/4	1		5	59	B3	3	1207
103	94	1341/4	1349/4	1.0		0	0	2/4	2	1	1/4		1/4	1		2	62	D4	4	1207
103	94	1341/4	1349/4	1.0		0	0	2/4	1	1	1/4		1/4	1		6	66	F#4	4	1206
103	94	1341/4	1349/4	1.0		0	0	2/4	1	1	1/4		1/4	1		2	74	D5	5	1206
104	95	1349/4	1357/4	1.0		0	0	2/4	2	1	1/4		1/4	1		8	44	G#2	2	1209
104	95	1349/4	1357/4	1.0		0	0	2/4	2	1	1/4		1/4	1		8	56	G#3	3	1209
104	95	1349/4	1357/4	1.0		0	0	2/4	1	1	1/4		1/4	1		2	74	D5	5	1208
104	95	1349/4	1357/4	1.0		0	0	2/4	1	1	1/4		1/4	1		-1	77	F5	5	1208
104	95	1349/4	1357/4	1.0		0	0	2/4	1	1	1/4		1/4	1		5	83	B5	5	1208
105	96	1357/4	1365/4	1.0		0	0	2/4	2	1	1/4		1/4	1		3	45	A2	2	1211
105	96	1357/4	1365/4	1.0		0	0	2/4	2	1	1/4		1/4	1		3	57	A3	3	1211
105	96	1357/4	1365/4	1.0		0	0	2/4	1	1	1/4		1/4	1		2	74	D5	5	1210
105	96	1357/4	1365/4	1.0		0	0	2/4	1	1	1/4		1/4	1		6	78	F#5	5	1210
105	96	1357/4	1365/4	1.0		0	0	2/4	1	1	1/4		1/4	1		3	81	A5	5	1210
106	97	1365/4	1373/4	1.0		0	0	2/4	2	1	1/4		1/4	1		3	33	A1	1	1213
106	97	1365/4	1373/4	1.0		0	0	2/4	2	1	1/4		1/4	1		3	45	A2	2	1213
106	97	1365/4	1373/4	1.0		0	0	2/4	1	1	1/4		1/4	1		4	52	E3	3	1212
106	97	1365/4	1373/4	1.0		0	0	2/4	1	1	1/4		1/4	1		1	55	G3	3	1212
106	97	1365/4	1373/4	1.0		0	0	2/4	1	1	1/4		1/4	1		7	61	C#4	4	1212
107	98	1373/4	1381/4	2.0		0	0	2/4	2	1	1/2		1/2	1		2	50	D3	3	1217
107	98	1373/4	1381/4	2.0		0	0	2/4	2	1	1/2		1/2	1		6	54	F#3	3	1217
107	98	1373/4	1381/4	1.0		0	0	2/4	1	1	1/4		1/4	1		3	57	A3	3	1214
107	98	1377/4	1385/4	0.5		1/4	1/4	2/4	1	1	1/8		1/8	1		6	66	F#4	4	1215
107	98	1379/4	1387/4	0.5		3/8	3/8	2/4	1	1	1/8		1/8	1		2	62	D4	4	1216
108	99	1381/4	1389/4	2.0		0	0	2/4	2	1	1/2		1/2	1	1	2	50	D3	3	1222
108	99	1381/4	1389/4	2.0		0	0	2/4	2	1	1/2		1/2	1	1	1	55	G3	3	1222
108	99	1381/4	1389/4	1.0		0	0	2/4	1	1	1/4		1/4	1		7	61	C#4	4	1218
108	99	1385/4	1393/4	0.5		1/4	1/4	2/4	1	1	1/8		1/8	1		5	59	B3	3	1219
108	99	1387/4	1395/4	0.25		3/8	3/8	2/4	1	1	1/16		1/16	1		1	67	G4	4	1220
108	99	347	349	0.25		7/16	7/16	2/4	1	1	1/16		1/16	1		4	64	E4	4	1221
109	100	1389/4	1397/4	2.0		0	0	2/4	2	1	1/2		1/2	1	-1	2	50	D3	3	1228
109	100	1389/4	1397/4	2.0		0	0	2/4	2	1	1/2		1/2	1		4	52	E3	3	1228
109	100	1389/4	1397/4	2.0		0	0	2/4	2	1	1/2		1/2	1	-1	1	55	G3	3	1228
109	100	1389/4	1397/4	0.5		0	0	2/4	1	1	1/8		1/8	1		2	62	D4	4	1223
109	100	1391/4	1399/4	0.5		1/8	1/8	2/4	1	1	1/8		1/8	1		7	61	C#4	4	1224
109	100	1391/4	1399/4	1.5		1/8	1/8	2/4	1	2	3/8		1/4	3/2		7	61	C#4	4	1227
109	100	1393/4	1401/4	0.5		1/4	1/4	2/4	1	1	1/8		1/8	1		5	71	B4	4	1225
109	100	1395/4	1403/4	0.5		3/8	3/8	2/4	1	1	1/8		1/8	1		3	69	A4	4	1226
110	101	1397/4	1405/4	1.5		0	0	2/4	2	1	3/8		1/4	3/2		2	50	D3	3	1233
110	101	1397/4	1405/4	1.5		0	0	2/4	2	1	3/8		1/4	3/2		6	54	F#3	3	1233
110	101	1397/4	1405/4	1.5		0	0	2/4	1	3	3/8		1/4	3/2		2	62	D4	4	1232
110	101	1397/4	1405/4	0.75		0	0	2/4	1	1	3/16		1/8	3/2		3	69	A4	4	1229
110	101	350	352	0.25		3/16	3/16	2/4	1	1	1/16		1/16	1		6	66	F#4	4	1230
110	101	1401/4	1409/4	0.5		1/4	1/4	2/4	1	1	1/8		1/8	1		3	69	A4	4	1231
111	102	1405/4	1413/4	2.0		0	0	2/4	2	1	1/2		1/2	1		6	42	F#2	2	1237
111	102	1405/4	1413/4	2.0		0	0	2/4	2	1	1/2		1/2	1		2	50	D3	3	1237
111	102	1405/4	1413/4	1.0		0	0	2/4	1	1	1/4		1/4	1		3	69	A4	4	1234
111	102	1409/4	1417/4	0.5		1/4	1/4	2/4	1	1	1/8		1/8	1		6	78	F#5	5	1235
111	102	1411/4	1419/4	0.5		3/8	3/8	2/4	1	1	1/8		1/8	1		2	74	D5	5	1236
112	103	1413/4	1421/4	2.0		0	0	2/4	2	1	1/2		1/2	1		1	43	G2	2	1241
112	103	1413/4	1421/4	2.0		0	0	2/4	2	1	1/2		1/2	1		1	55	G3	3	1241
112	103	1413/4	1421/4	1.5		0	0	2/4	1	1	3/8		1/4	3/2		5	71	B4	4	1238
112	103	1419/4	1427/4	0.25		3/8	3/8	2/4	1	1	1/16		1/16	1		1	79	G5	5	1239
112	103	355	357	0.25		7/16	7/16	2/4	1	1	1/16		1/16	1		4	76	E5	5	1240
113	104	1421/4	1429/4	2.0		0	0	2/4	2	1	1/2		1/2	1		3	45	A2	2	1250
113	104	1421/4	1429/4	2.0		0	0	2/4	2	1	1/2		1/2	1		4	52	E3	3	1250
113	104	1421/4	1429/4	2.0		0	0	2/4	2	1	1/2		1/2	1		1	55	G3	3	1250
113	104	1421/4	1429/4	0.25		0	0	2/4	1	1	1/16		1/16	1		7	73	C#5	5	1242
113	104	711/2	715/2	0.25		1/16	1/16	2/4	1	1	1/16		1/16	1		2	74	D5	5	1243
113	104	1423/4	1431/4	0.25		1/8	1/8	2/4	1	1	1/16		1/16	1		4	76	E5	5	1244
113	104	356	358	0.25		3/16	3/16	2/4	1	1	1/16		1/16	1		6	78	F#5	5	1245
113	104	1425/4	1433/4	0.25		1/4	1/4	2/4	1	1	1/16		1/16	1		1	79	G5	5	1246
113	104	713/2	717/2	0.25		5/16	5/16	2/4	1	1	1/16		1/16	1		3	81	A5	5	1247
113	104	1427/4	1435/4	0.25		3/8	3/8	2/4	1	1	1/16		1/16	1		5	83	B5	5	1248
113	104	357	359	0.25		7/16	7/16	2/4	1	1	1/16		1/16	1		7	85	C#6	6	1249
114	105	1429/4	1437/4	0.5		0	0	2/4	2	1	1/8		1/8	1		2	50	D3	3	1253
114	105	1429/4	1437/4	0.5		0	0	2/4	2	1	1/8		1/8	1		6	54	F#3	3	1253
114	105	1429/4	1437/4	0.5		0	0	2/4	1	1	1/8		1/8	1		2	86	D6	6	1251
114	105	1433/4	1441/4	0.5		1/4	1/4	2/4	2	1	1/8		1/8	1		3	45	A2	2	1254
114	105	1433/4	1441/4	0.5		1/4	1/4	2/4	2	1	1/8		1/8	1		3	57	A3	3	1254
114	105	1433/4	1441/4	1.0		1/4	1/4	2/4	1	1	1/4		1/4	1		3	69	A4	4	1252
114	105	1433/4	1441/4	1.0		1/4	1/4	2/4	1	1	1/4		1/4	1		7	73	C#5	5	1252
114	105	1433/4	1441/4	1.0		1/4	1/4	2/4	1	1	1/4		1/4	1		4	76	E5	5	1252
114	105	1433/4	1441/4	1.0		1/4	1/4	2/4	1	1	1/4		1/4	1		3	81	A5	5	1252
115	106	1437/4	1445/4	0.5		0	0	2/4	2	1	1/8		1/8	1		2	50	D3	3	1257
115	106	1437/4	1445/4	0.5		0	0	2/4	2	1	1/8		1/8	1		3	57	A3	3	1257
115	106	1437/4	1445/4	0.5		0	0	2/4	1	1	1/8		1/8	1		3	69	A4	4	1255
115	106	1437/4	1445/4	0.5		0	0	2/4	1	1	1/8		1/8	1		2	74	D5	5	1255
115	106	1437/4	1445/4	0.5		0	0	2/4	1	1	1/8		1/8	1		6	78	F#5	5	1255
115	106	1441/4	1449/4	0.5		1/4	1/4	2/4	2	1	1/8		1/8	1		3	45	A2	2	1258
115	106	1441/4	1449/4	0.5		1/4	1/4	2/4	2	1	1/8		1/8	1		3	57	A3	3	1258
115	106	1441/4	1449/4	0.5		1/4	1/4	2/4	1	1	1/8		1/8	1		4	64	E4	4	1256
115	106	1441/4	1449/4	0.5		1/4	1/4	2/4	1	1	1/8		1/8	1		1	67	G4	4	1256
115	106	1441/4	1449/4	0.5		1/4	1/4	2/4	1	1	1/8		1/8	1		3	69	A4	4	1256
115	106	1441/4	1449/4	0.5		1/4	1/4	2/4	1	1	1/8		1/8	1		7	73	C#5	5	1256
116	107	1445/4	1453/4	1.0		0	0	2/4	2	1	1/4		1/4	1		2	38	D2	2	1260
116	107	1445/4	1453/4	1.0		0	0	2/4	2	1	1/4		1/4	1		2	50	D3	3	1260
116	107	1445/4	1453/4	1.0		0	0	2/4	1	1	1/4		1/4	1		2	62	D4	4	1259
116	107	1445/4	1453/4	1.0		0	0	2/4	1	1	1/4		1/4	1		6	66	F#4	4	1259
116	107	1445/4	1453/4	1.0		0	0	2/4	1	1	1/4		1/4	1		3	69	A4	4	1259
116	107	1445/4	1453/4	1.0		0	0	2/4	1	1	1/4		1/4	1		2	74	D5	5	1259
