mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
4	4	4	4a	41/3	41/3	0.3333333333333333		5/12	5/12	4/4	1	1	1/12		1/8	2/3		-2	58	Bb3	3	43
4	4	4	4a	14	14	0.3333333333333333		1/2	1/2	4/4	1	1	1/12		1/8	2/3		4	64	E4	4	44
4	4	4	4a	43/3	43/3	0.3333333333333333		7/12	7/12	4/4	1	1	1/12		1/8	2/3		-2	58	Bb3	3	45
4	4	4	4a	44/3	44/3	0.3333333333333333		2/3	2/3	4/4	1	1	1/12		1/8	2/3		1	67	G4	4	46
4	4	4	4a	15	15	0.3333333333333333		3/4	3/4	4/4	1	1	1/12		1/8	2/3		4	64	E4	4	47
4	4	4	4a	46/3	46/3	0.3333333333333333		5/6	5/6	4/4	1	1	1/12		1/8	2/3		-2	58	Bb3	3	48
4	4	4	4a	47/3	47/3	0.3333333333333333		11/12	11/12	4/4	1	1	1/12		1/8	2/3		1	55	G3	3	49
5	5	5	5a	16	16	0.3333333333333333		0	0	4/4	2	1	1/12		1/8	2/3		0	36	C2	2	64
5	5	5	5a	16	16	1.0		0	0	4/4	2	2	1/4		1/4	1		0	36	C2	2	68
5	5	5	5a	49/3	49/3	0.3333333333333333		1/12	1/12	4/4	2	1	1/12		1/8	2/3		6	42	F#2	2	65
5	5	5	5a	50/3	50/3	0.3333333333333333		1/6	1/6	4/4	2	1	1/12		1/8	2/3		3	45	A2	2	66
5	5	5	5a	17	17	3.0		1/4	1/4	4/4	2	2	3/4		1/2	3/2		0	36	C2	2	69
5	5	5	5a	17	17	3.0		1/4	1/4	4/4	2	1	3/4		1/2	3/2		0	48	C3	3	67
5	5	5	5a	52/3	52/3	0.3333333333333333		1/3	1/3	4/4	1	1	1/12		1/8	2/3		3	57	A3	3	56
5	5	5	5a	53/3	53/3	0.3333333333333333		5/12	5/12	4/4	1	1	1/12		1/8	2/3		2	62	D4	4	57
5	5	5	5a	18	18	0.3333333333333333		1/2	1/2	4/4	1	1	1/12		1/8	2/3		6	66	F#4	4	58
