mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
14	14	35	35	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		5	71	B4	4	74
14	14	36	36	0.5	1/2	1/2	3/4	1	1	1/8	1/8	1		4	76	E5	5	75
14	14	73/2	73/2	0.5	5/8	5/8	3/4	1	1	1/8	1/8	1		0	72	C5	5	76
15	15	37	37	2.0	0	0	3/4	2	1	1/2	1/2	1		0	60	C4	4	83
15	15	37	37	1.0	0	0	3/4	1	1	1/4	1/4	1		3	69	A4	4	79
15	15	38	38	0.5	1/4	1/4	3/4	1	1	1/8	1/8	1		0	72	C5	5	80
15	15	77/2	77/2	0.5	3/8	3/8	3/4	1	1	1/8	1/8	1		3	69	A4	4	81
15	15	39	39	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		3	57	A3	3	84
15	15	39	39	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		6	66	F#4	4	82
16	16	40	40	1.0	0	0	3/4	2	1	1/4	1/4	1		6	54	F#3	3	90
16	16	40	40	0.5	0	0	3/4	1	1	1/8	1/8	1		2	62	D4	4	85
16	16	81/2	81/2	0.5	1/8	1/8	3/4	1	1	1/8	1/8	1		6	66	F#4	4	86
16	16	41	41	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		2	50	D3	3	91
16	16	41	41	0.5	1/4	1/4	3/4	1	1	1/8	1/8	1		3	69	A4	4	87
16	16	83/2	83/2	0.5	3/8	3/8	3/4	1	1	1/8	1/8	1		0	72	C5	5	88
16	16	42	42	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		1	55	G3	3	92
16	16	42	42	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		5	71	B4	4	89
17	17	43	43	1.0	0	0	3/4	2	1	1/4	1/4	1		0	60	C4	4	98
17	17	43	43	0.3333333333333333	0	0	3/4	1	1	1/12	1/8	2/3		4	76	E5	5	93
17	17	130/3	130/3	0.3333333333333333	1/12	1/12	3/4	1	1	1/12	1/8	2/3		0	72	C5	5	94
17	17	131/3	131/3	0.3333333333333333	1/6	1/6	3/4	1	1	1/12	1/8	2/3		3	69	A4	4	95
17	17	44	44	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		2	62	D4	4	99
17	17	44	44	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		1	67	G4	4	96
17	17	45	45	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		2	50	D3	3	100
17	17	45	45	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		6	66	F#4	4	97
18	18	46	46	2.0	0	0	3/4	2	1	1/2	1/2	1		1	55	G3	3	102
18	18	46	46	2.0	0	0	3/4	1	1	1/2	1/2	1		1	67	G4	4	101
19	19	48	48	0.5	0	1/2	3/4	2	1	1/8	1/8	1		0	48	C3	3	105
19	19	48	48	0.5	0	1/2	3/4	1	1	1/8	1/8	1		0	72	C5	5	103
19	19	97/2	97/2	0.5	1/8	5/8	3/4	2	1	1/8	1/8	1		4	52	E3	3	106
19	19	97/2	97/2	0.5	1/8	5/8	3/4	1	1	1/8	1/8	1		1	67	G4	4	104
20	20	49	49	1.0	0	0	3/4	2	2	1/4	1/4	1		0	48	C3	3	114
20	20	49	49	1.0	0	0	3/4	2	1	1/4	1/4	1		1	55	G3	3	111
20	20	49	49	1.0	0	0	3/4	1	1	1/4	1/4	1		4	64	E4	4	107
20	20	50	50	1.0	1/4	1/4	3/4	2	2	1/4	1/4	1		0	48	C3	3	115
20	20	50	50	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		1	55	G3	3	112
20	20	50	50	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		4	64	E4	4	108
20	20	51	51	0.5	1/2	1/2	3/4	2	2	1/8	1/8	1		5	47	B2	2	116
20	20	51	51	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		1	55	G3	3	113
20	20	51	51	0.5	1/2	1/2	3/4	1	1	1/8	1/8	1		2	62	D4	4	109
20	20	103/2	103/2	0.5	5/8	5/8	3/4	2	2	1/8	1/8	1		0	48	C3	3	117
20	20	103/2	103/2	0.5	5/8	5/8	3/4	1	1	1/8	1/8	1		4	64	E4	4	110
21	21	52	52	1.0	0	0	3/4	2	2	1/4	1/4	1		0	48	C3	3	124
21	21	52	52	2.0	0	0	3/4	2	1	1/2	1/2	1		1	55	G3	3	122
21	21	52	52	1.0	0	0	3/4	1	1	1/4	1/4	1		4	64	E4	4	118
21	21	53	53	1.0	1/4	1/4	3/4	2	2	1/4	1/4	1		2	50	D3	3	125
21	21	53	53	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		-1	65	F4	4	119
21	21	54	54	0.5	1/2	1/2	3/4	2	2	1/8	1/8	1		5	47	B2	2	126
21	21	54	54	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		1	55	G3	3	123
21	21	54	54	0.5	1/2	1/2	3/4	1	1	1/8	1/8	1		2	74	D5	5	120
21	21	109/2	109/2	0.5	5/8	5/8	3/4	2	2	1/8	1/8	1		2	50	D3	3	127
21	21	109/2	109/2	0.5	5/8	5/8	3/4	1	1	1/8	1/8	1		5	71	B4	4	121
22	22	55	55	1.0	0	0	3/4	2	2	1/4	1/4	1		5	47	B2	2	135
22	22	55	55	1.0	0	0	3/4	2	1	1/4	1/4	1		1	55	G3	3	132
22	22	55	55	1.0	0	0	3/4	1	1	1/4	1/4	1		-1	65	F4	4	128
22	22	56	56	1.0	1/4	1/4	3/4	2	2	1/4	1/4	1		5	47	B2	2	136
22	22	56	56	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		1	55	G3	3	133
22	22	56	56	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		-1	65	F4	4	129
22	22	57	57	1.0	1/2	1/2	3/4	2	2	1/4	1/4	1		5	47	B2	2	137
22	22	57	57	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		1	55	G3	3	134
22	22	57	57	0.5	1/2	1/2	3/4	1	1	1/8	1/8	1		4	64	E4	4	130
22	22	115/2	115/2	0.5	5/8	5/8	3/4	1	1	1/8	1/8	1		2	62	D4	4	131
23	23	58	58	2.0	0	0	3/4	2	2	1/2	1/2	1		0	48	C3	3	149
23	23	58	58	2.0	0	0	3/4	2	1	1/2	1/2	1		1	55	G3	3	144
23	23	58	58	1.0	0	0	3/4	1	1	1/4	1/4	1		2	62	D4	4	138
23	23	59	59	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		4	64	E4	4	139
23	23	60	60	0.25	1/2	1/2	3/4	2	1	1/16	1/16	1		0	60	C4	4	145
23	23	60	60	0.25	1/2	1/2	3/4	1	1	1/16	1/16	1		4	76	E5	5	140
23	23	241/4	241/4	0.25	9/16	9/16	3/4	2	1	1/16	1/16	1		5	59	B3	3	146
23	23	241/4	241/4	0.25	9/16	9/16	3/4	1	1	1/16	1/16	1		2	74	D5	5	141
23	23	121/2	121/2	0.25	5/8	5/8	3/4	2	1	1/16	1/16	1		3	57	A3	3	147
23	23	121/2	121/2	0.25	5/8	5/8	3/4	1	1	1/16	1/16	1		0	72	C5	5	142
23	23	243/4	243/4	0.25	11/16	11/16	3/4	2	1	1/16	1/16	1		1	55	G3	3	148
23	23	243/4	243/4	0.25	11/16	11/16	3/4	1	1	1/16	1/16	1		5	71	B4	4	143
24	24	61	61	2.0	0	0	3/4	2	1	1/2	1/2	1		6	54	F#3	3	156
24	24	61	61	1.0	0	0	3/4	1	1	1/4	1/4	1		3	69	A4	4	150
24	24	62	62	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		3	81	A5	5	151
24	24	63	63	0.25	1/2	1/2	3/4	2	1	1/16	1/16	1		5	59	B3	3	157
24	24	63	63	0.25	1/2	1/2	3/4	1	1	1/16	1/16	1		2	74	D5	5	152
24	24	253/4	253/4	0.25	9/16	9/16	3/4	2	1	1/16	1/16	1		3	57	A3	3	158
24	24	253/4	253/4	0.25	9/16	9/16	3/4	1	1	1/16	1/16	1		0	72	C5	5	153
24	24	127/2	127/2	0.25	5/8	5/8	3/4	2	1	1/16	1/16	1		1	55	G3	3	159
24	24	127/2	127/2	0.25	5/8	5/8	3/4	1	1	1/16	1/16	1		5	71	B4	4	154
24	24	255/4	255/4	0.25	11/16	11/16	3/4	2	1	1/16	1/16	1		6	54	F#3	3	160
24	24	255/4	255/4	0.25	11/16	11/16	3/4	1	1	1/16	1/16	1		3	69	A4	4	155
25	25	64	64	2.0	0	0	3/4	2	1	1/2	1/2	1		4	52	E3	3	167
25	25	64	64	1.0	0	0	3/4	1	1	1/4	1/4	1		1	67	G4	4	161
25	25	65	65	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		1	79	G5	5	162
25	25	66	66	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		5	59	B3	3	168
25	25	66	66	0.25	1/2	1/2	3/4	1	1	1/16	1/16	1		2	74	D5	5	163
25	25	265/4	265/4	0.25	9/16	9/16	3/4	1	1	1/16	1/16	1		5	71	B4	4	164
25	25	133/2	133/2	0.25	5/8	5/8	3/4	1	1	1/16	1/16	1		3	69	A4	4	165
25	25	267/4	267/4	0.25	11/16	11/16	3/4	1	1	1/16	1/16	1		1	67	G4	4	166
26	26	67	67	1.0	0	0	3/4	2	1	1/4	1/4	1		0	60	C4	4	172
26	26	67	67	1.0	0	0	3/4	1	1	1/4	1/4	1		4	76	E5	5	169
26	26	68	68	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		2	62	D4	4	173
26	26	68	68	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		2	74	D5	5	170
26	26	69	69	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		2	50	D3	3	174
26	26	69	69	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		6	66	F#4	4	171
27	27	70	70	2.0	0	0	3/4	2	1	1/2	1/2	1		1	55	G3	3	177
27	27	70	70	1.0	0	0	3/4	1	1	1/4	1/4	1		3	69	A4	4	175
27	27	71	71	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		1	67	G4	4	176
28	28	72	72	0.5	0	1/2	3/4	2	1	1/8	1/8	1		4	52	E3	3	180
28	28	72	72	0.5	0	1/2	3/4	1	1	1/8	1/8	1		1	79	G5	5	178
28	28	145/2	145/2	0.5	1/8	5/8	3/4	2	1	1/8	1/8	1		1	55	G3	3	181
28	28	145/2	145/2	0.5	1/8	5/8	3/4	1	1	1/8	1/8	1		4	76	E5	5	179
29	29	73	73	1.0	0	0	3/4	2	1	1/4	1/4	1		3	57	A3	3	187
29	29	73	73	1.0	0	0	3/4	2	2	1/4	1/4	1		3	57	A3	3	190
29	29	73	73	0.5	0	0	3/4	1	1	1/8	1/8	1		7	73	C#5	5	182
29	29	147/2	147/2	0.5	1/8	1/8	3/4	1	1	1/8	1/8	1		7	73	C#5	5	183
29	29	74	74	1.0	1/4	1/4	3/4	2	2	1/4	1/4	1		1	55	G3	3	191
29	29	74	74	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		3	57	A3	3	188
29	29	74	74	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		7	73	C#5	5	184
29	29	75	75	0.5	1/2	1/2	3/4	2	2	1/8	1/8	1		-1	53	F3	3	192
29	29	75	75	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		3	57	A3	3	189
29	29	75	75	0.5	1/2	1/2	3/4	1	1	1/8	1/8	1		2	74	D5	5	185
29	29	151/2	151/2	0.5	5/8	5/8	3/4	2	2	1/8	1/8	1		4	52	E3	3	193
29	29	151/2	151/2	0.5	5/8	5/8	3/4	1	1	1/8	1/8	1		4	76	E5	5	186
30	30	76	76	1.0	0	0	3/4	2	2	1/4	1/4	1		4	52	E3	3	200
30	30	76	76	2.0	0	0	3/4	2	1	1/2	1/2	1		3	57	A3	3	198
30	30	76	76	1.0	0	0	3/4	1	1	1/4	1/4	1		4	76	E5	5	194
30	30	77	77	1.0	1/4	1/4	3/4	2	2	1/4	1/4	1		2	50	D3	3	201
30	30	77	77	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		-1	77	F5	5	195
30	30	78	78	0.5	1/2	1/2	3/4	2	2	1/8	1/8	1		2	50	D3	3	202
30	30	78	78	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		3	57	A3	3	199
30	30	78	78	0.5	1/2	1/2	3/4	1	1	1/8	1/8	1		-1	77	F5	5	196
30	30	157/2	157/2	0.5	5/8	5/8	3/4	2	2	1/8	1/8	1		-1	53	F3	3	203
30	30	157/2	157/2	0.5	5/8	5/8	3/4	1	1	1/8	1/8	1		2	74	D5	5	197
31	31	79	79	1.0	0	0	3/4	2	1	1/4	1/4	1		1	55	G3	3	208
31	31	79	79	1.0	0	0	3/4	2	2	1/4	1/4	1		1	55	G3	3	211
31	31	79	79	1.0	0	0	3/4	1	1	1/4	1/4	1		5	71	B4	4	204
31	31	80	80	1.0	1/4	1/4	3/4	2	2	1/4	1/4	1		-1	53	F3	3	212
31	31	80	80	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		1	55	G3	3	209
31	31	80	80	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		5	71	B4	4	205
31	31	81	81	0.5	1/2	1/2	3/4	2	2	1/8	1/8	1		4	52	E3	3	213
31	31	81	81	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		1	55	G3	3	210
31	31	81	81	0.5	1/2	1/2	3/4	1	1	1/8	1/8	1		0	72	C5	5	206
31	31	163/2	163/2	0.5	5/8	5/8	3/4	2	2	1/8	1/8	1		2	50	D3	3	214
31	31	163/2	163/2	0.5	5/8	5/8	3/4	1	1	1/8	1/8	1		2	74	D5	5	207
32	32	82	82	1.0	0	0	3/4	2	2	1/4	1/4	1		2	50	D3	3	226
32	32	82	82	2.0	0	0	3/4	2	1	1/2	1/2	1		1	55	G3	3	221
32	32	82	82	1.0	0	0	3/4	1	1	1/4	1/4	1		2	74	D5	5	215
32	32	83	83	1.0	1/4	1/4	3/4	2	2	1/4	1/4	1		0	48	C3	3	227
32	32	83	83	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		4	76	E5	5	216
32	32	84	84	0.25	1/2	1/2	3/4	2	1	1/16	1/16	1		-1	65	F4	4	222
32	32	84	84	0.25	1/2	1/2	3/4	1	1	1/16	1/16	1		3	81	A5	5	217
32	32	337/4	337/4	0.25	9/16	9/16	3/4	2	1	1/16	1/16	1		4	64	E4	4	223
32	32	337/4	337/4	0.25	9/16	9/16	3/4	1	1	1/16	1/16	1		1	79	G5	5	218
32	32	169/2	169/2	0.25	5/8	5/8	3/4	2	1	1/16	1/16	1		2	62	D4	4	224
32	32	169/2	169/2	0.25	5/8	5/8	3/4	1	1	1/16	1/16	1		-1	77	F5	5	219
32	32	339/4	339/4	0.25	11/16	11/16	3/4	2	1	1/16	1/16	1		0	60	C4	4	225
32	32	339/4	339/4	0.25	11/16	11/16	3/4	1	1	1/16	1/16	1		4	76	E5	5	220
33	33	85	85	2.0	0	0	3/4	2	1	1/2	1/2	1		5	59	B3	3	234
33	33	85	85	1.0	0	0	3/4	1	1	1/4	1/4	1		2	74	D5	5	228
33	33	86	86	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		2	86	D6	6	229
33	33	87	87	0.25	1/2	1/2	3/4	2	1	1/16	1/16	1		4	64	E4	4	235
33	33	87	87	0.25	1/2	1/2	3/4	1	1	1/16	1/16	1		1	79	G5	5	230
33	33	349/4	349/4	0.25	9/16	9/16	3/4	2	1	1/16	1/16	1		2	62	D4	4	236
33	33	349/4	349/4	0.25	9/16	9/16	3/4	1	1	1/16	1/16	1		-1	77	F5	5	231
33	33	175/2	175/2	0.25	5/8	5/8	3/4	2	1	1/16	1/16	1		0	60	C4	4	237
33	33	175/2	175/2	0.25	5/8	5/8	3/4	1	1	1/16	1/16	1		4	76	E5	5	232
33	33	351/4	351/4	0.25	11/16	11/16	3/4	2	1	1/16	1/16	1		5	59	B3	3	238
33	33	351/4	351/4	0.25	11/16	11/16	3/4	1	1	1/16	1/16	1		2	74	D5	5	233
34	34	88	88	2.0	0	0	3/4	2	1	1/2	1/2	1		3	57	A3	3	245
34	34	88	88	1.0	0	0	3/4	1	1	1/4	1/4	1		0	72	C5	5	239
34	34	89	89	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		0	84	C6	6	240
34	34	90	90	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		4	52	E3	3	246
34	34	90	90	0.25	1/2	1/2	3/4	1	1	1/16	1/16	1		1	79	G5	5	241
34	34	361/4	361/4	0.25	9/16	9/16	3/4	1	1	1/16	1/16	1		4	76	E5	5	242
34	34	181/2	181/2	0.25	5/8	5/8	3/4	1	1	1/16	1/16	1		2	74	D5	5	243
34	34	363/4	363/4	0.25	11/16	11/16	3/4	1	1	1/16	1/16	1		0	72	C5	5	244
35	35	91	91	1.0	0	0	3/4	2	1	1/4	1/4	1		-1	53	F3	3	250
35	35	91	91	1.0	0	0	3/4	1	1	1/4	1/4	1		3	81	A5	5	247
35	35	92	92	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		1	55	G3	3	251
35	35	92	92	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		1	79	G5	5	248
35	35	93	93	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		1	43	G2	2	252
35	35	93	93	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		5	71	B4	4	249
36	36	94	94	2.0	0	0	3/4	2	1	1/2	1/2	1		0	48	C3	3	255
36	36	94	94	1.0	0	0	3/4	1	1	1/4	1/4	1		2	74	D5	5	253
36	36	95	95	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		0	72	C5	5	254
