mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
23	20	41	20a	217/2	121/2	0.25	5/8	5/8	3/4	1	1	1/16	1/16	1		0	72	C5	5	142
23	20	41	20a	435/4	243/4	0.25	11/16	11/16	3/4	2	1	1/16	1/16	1		1	55	G3	3	148
23	20	41	20a	435/4	243/4	0.25	11/16	11/16	3/4	1	1	1/16	1/16	1		5	71	B4	4	143
24	21	42	21a	109	61	2.0	0	0	3/4	2	1	1/2	1/2	1		6	54	F#3	3	156
24	21	42	21a	109	61	1.0	0	0	3/4	1	1	1/4	1/4	1		3	69	A4	4	150
24	21	42	21a	110	62	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		3	81	A5	5	151
24	21	42	21a	111	63	0.25	1/2	1/2	3/4	2	1	1/16	1/16	1		5	59	B3	3	157
24	21	42	21a	111	63	0.25	1/2	1/2	3/4	1	1	1/16	1/16	1		2	74	D5	5	152
24	21	42	21a	445/4	253/4	0.25	9/16	9/16	3/4	2	1	1/16	1/16	1		3	57	A3	3	158
24	21	42	21a	445/4	253/4	0.25	9/16	9/16	3/4	1	1	1/16	1/16	1		0	72	C5	5	153
24	21	42	21a	223/2	127/2	0.25	5/8	5/8	3/4	2	1	1/16	1/16	1		1	55	G3	3	159
24	21	42	21a	223/2	127/2	0.25	5/8	5/8	3/4	1	1	1/16	1/16	1		5	71	B4	4	154
24	21	42	21a	447/4	255/4	0.25	11/16	11/16	3/4	2	1	1/16	1/16	1		6	54	F#3	3	160
24	21	42	21a	447/4	255/4	0.25	11/16	11/16	3/4	1	1	1/16	1/16	1		3	69	A4	4	155
25	22	43	22a	112	64	2.0	0	0	3/4	2	1	1/2	1/2	1		4	52	E3	3	167
25	22	43	22a	112	64	1.0	0	0	3/4	1	1	1/4	1/4	1		1	67	G4	4	161
25	22	43	22a	113	65	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		1	79	G5	5	162
25	22	43	22a	114	66	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		5	59	B3	3	168
25	22	43	22a	114	66	0.25	1/2	1/2	3/4	1	1	1/16	1/16	1		2	74	D5	5	163
25	22	43	22a	457/4	265/4	0.25	9/16	9/16	3/4	1	1	1/16	1/16	1		5	71	B4	4	164
25	22	43	22a	229/2	133/2	0.25	5/8	5/8	3/4	1	1	1/16	1/16	1		3	69	A4	4	165
25	22	43	22a	459/4	267/4	0.25	11/16	11/16	3/4	1	1	1/16	1/16	1		1	67	G4	4	166
26	23	44	23a	115	67	1.0	0	0	3/4	2	1	1/4	1/4	1		0	60	C4	4	172
26	23	44	23a	115	67	1.0	0	0	3/4	1	1	1/4	1/4	1		4	76	E5	5	169
26	23	44	23a	116	68	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		2	62	D4	4	173
26	23	44	23a	116	68	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		2	74	D5	5	170
26	23	44	23a	117	69	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		2	50	D3	3	174
26	23	44	23a	117	69	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		6	66	F#4	4	171
27	24	45	24a	118	70	2.0	0	0	3/4	2	1	1/2	1/2	1		1	55	G3	3	177
27	24	45	24a	118	70	1.0	0	0	3/4	1	1	1/4	1/4	1		3	69	A4	4	175
27	24	45	24a	119	71	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		1	67	G4	4	176
19	16	46	24a	120	48	0.5	0	1/2	3/4	2	1	1/8	1/8	1		0	48	C3	3	105
19	16	46	24a	120	48	0.5	0	1/2	3/4	1	1	1/8	1/8	1		0	72	C5	5	103
19	16	46	24a	241/2	97/2	0.5	1/8	5/8	3/4	2	1	1/8	1/8	1		4	52	E3	3	106
19	16	46	24a	241/2	97/2	0.5	1/8	5/8	3/4	1	1	1/8	1/8	1		1	67	G4	4	104
20	17	47	17b	121	49	1.0	0	0	3/4	2	2	1/4	1/4	1		0	48	C3	3	114
20	17	47	17b	121	49	1.0	0	0	3/4	2	1	1/4	1/4	1		1	55	G3	3	111
20	17	47	17b	121	49	1.0	0	0	3/4	1	1	1/4	1/4	1		4	64	E4	4	107
20	17	47	17b	122	50	1.0	1/4	1/4	3/4	2	2	1/4	1/4	1		0	48	C3	3	115
20	17	47	17b	122	50	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		1	55	G3	3	112
20	17	47	17b	122	50	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		4	64	E4	4	108
20	17	47	17b	123	51	0.5	1/2	1/2	3/4	2	2	1/8	1/8	1		5	47	B2	2	116
20	17	47	17b	123	51	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		1	55	G3	3	113
20	17	47	17b	123	51	0.5	1/2	1/2	3/4	1	1	1/8	1/8	1		2	62	D4	4	109
20	17	47	17b	247/2	103/2	0.5	5/8	5/8	3/4	2	2	1/8	1/8	1		0	48	C3	3	117
20	17	47	17b	247/2	103/2	0.5	5/8	5/8	3/4	1	1	1/8	1/8	1		4	64	E4	4	110
21	18	48	18b	124	52	1.0	0	0	3/4	2	2	1/4	1/4	1		0	48	C3	3	124
21	18	48	18b	124	52	2.0	0	0	3/4	2	1	1/2	1/2	1		1	55	G3	3	122
21	18	48	18b	124	52	1.0	0	0	3/4	1	1	1/4	1/4	1		4	64	E4	4	118
21	18	48	18b	125	53	1.0	1/4	1/4	3/4	2	2	1/4	1/4	1		2	50	D3	3	125
21	18	48	18b	125	53	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		-1	65	F4	4	119
21	18	48	18b	126	54	0.5	1/2	1/2	3/4	2	2	1/8	1/8	1		5	47	B2	2	126
21	18	48	18b	126	54	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		1	55	G3	3	123
21	18	48	18b	126	54	0.5	1/2	1/2	3/4	1	1	1/8	1/8	1		2	74	D5	5	120
21	18	48	18b	253/2	109/2	0.5	5/8	5/8	3/4	2	2	1/8	1/8	1		2	50	D3	3	127
21	18	48	18b	253/2	109/2	0.5	5/8	5/8	3/4	1	1	1/8	1/8	1		5	71	B4	4	121
22	19	49	19b	127	55	1.0	0	0	3/4	2	2	1/4	1/4	1		5	47	B2	2	135
22	19	49	19b	127	55	1.0	0	0	3/4	2	1	1/4	1/4	1		1	55	G3	3	132
22	19	49	19b	127	55	1.0	0	0	3/4	1	1	1/4	1/4	1		-1	65	F4	4	128
22	19	49	19b	128	56	1.0	1/4	1/4	3/4	2	2	1/4	1/4	1		5	47	B2	2	136
22	19	49	19b	128	56	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		1	55	G3	3	133
22	19	49	19b	128	56	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		-1	65	F4	4	129
22	19	49	19b	129	57	1.0	1/2	1/2	3/4	2	2	1/4	1/4	1		5	47	B2	2	137
22	19	49	19b	129	57	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		1	55	G3	3	134
22	19	49	19b	129	57	0.5	1/2	1/2	3/4	1	1	1/8	1/8	1		4	64	E4	4	130
22	19	49	19b	259/2	115/2	0.5	5/8	5/8	3/4	1	1	1/8	1/8	1		2	62	D4	4	131
23	20	50	20b	130	58	2.0	0	0	3/4	2	2	1/2	1/2	1		0	48	C3	3	149
23	20	50	20b	130	58	2.0	0	0	3/4	2	1	1/2	1/2	1		1	55	G3	3	144
23	20	50	20b	130	58	1.0	0	0	3/4	1	1	1/4	1/4	1		2	62	D4	4	138
23	20	50	20b	131	59	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		4	64	E4	4	139
23	20	50	20b	132	60	0.25	1/2	1/2	3/4	2	1	1/16	1/16	1		0	60	C4	4	145
23	20	50	20b	132	60	0.25	1/2	1/2	3/4	1	1	1/16	1/16	1		4	76	E5	5	140
23	20	50	20b	529/4	241/4	0.25	9/16	9/16	3/4	2	1	1/16	1/16	1		5	59	B3	3	146
23	20	50	20b	529/4	241/4	0.25	9/16	9/16	3/4	1	1	1/16	1/16	1		2	74	D5	5	141
23	20	50	20b	265/2	121/2	0.25	5/8	5/8	3/4	2	1	1/16	1/16	1		3	57	A3	3	147
23	20	50	20b	265/2	121/2	0.25	5/8	5/8	3/4	1	1	1/16	1/16	1		0	72	C5	5	142
23	20	50	20b	531/4	243/4	0.25	11/16	11/16	3/4	2	1	1/16	1/16	1		1	55	G3	3	148
23	20	50	20b	531/4	243/4	0.25	11/16	11/16	3/4	1	1	1/16	1/16	1		5	71	B4	4	143
24	21	51	21b	133	61	2.0	0	0	3/4	2	1	1/2	1/2	1		6	54	F#3	3	156
24	21	51	21b	133	61	1.0	0	0	3/4	1	1	1/4	1/4	1		3	69	A4	4	150
24	21	51	21b	134	62	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		3	81	A5	5	151
24	21	51	21b	135	63	0.25	1/2	1/2	3/4	2	1	1/16	1/16	1		5	59	B3	3	157
24	21	51	21b	135	63	0.25	1/2	1/2	3/4	1	1	1/16	1/16	1		2	74	D5	5	152
24	21	51	21b	541/4	253/4	0.25	9/16	9/16	3/4	2	1	1/16	1/16	1		3	57	A3	3	158
24	21	51	21b	541/4	253/4	0.25	9/16	9/16	3/4	1	1	1/16	1/16	1		0	72	C5	5	153
24	21	51	21b	271/2	127/2	0.25	5/8	5/8	3/4	2	1	1/16	1/16	1		1	55	G3	3	159
24	21	51	21b	271/2	127/2	0.25	5/8	5/8	3/4	1	1	1/16	1/16	1		5	71	B4	4	154
24	21	51	21b	543/4	255/4	0.25	11/16	11/16	3/4	2	1	1/16	1/16	1		6	54	F#3	3	160
24	21	51	21b	543/4	255/4	0.25	11/16	11/16	3/4	1	1	1/16	1/16	1		3	69	A4	4	155
25	22	52	22b	136	64	2.0	0	0	3/4	2	1	1/2	1/2	1		4	52	E3	3	167
25	22	52	22b	136	64	1.0	0	0	3/4	1	1	1/4	1/4	1		1	67	G4	4	161
25	22	52	22b	137	65	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		1	79	G5	5	162
25	22	52	22b	138	66	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		5	59	B3	3	168
25	22	52	22b	138	66	0.25	1/2	1/2	3/4	1	1	1/16	1/16	1		2	74	D5	5	163
25	22	52	22b	553/4	265/4	0.25	9/16	9/16	3/4	1	1	1/16	1/16	1		5	71	B4	4	164
25	22	52	22b	277/2	133/2	0.25	5/8	5/8	3/4	1	1	1/16	1/16	1		3	69	A4	4	165
25	22	52	22b	555/4	267/4	0.25	11/16	11/16	3/4	1	1	1/16	1/16	1		1	67	G4	4	166
26	23	53	23b	139	67	1.0	0	0	3/4	2	1	1/4	1/4	1		0	60	C4	4	172
26	23	53	23b	139	67	1.0	0	0	3/4	1	1	1/4	1/4	1		4	76	E5	5	169
26	23	53	23b	140	68	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		2	62	D4	4	173
26	23	53	23b	140	68	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		2	74	D5	5	170
26	23	53	23b	141	69	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		2	50	D3	3	174
26	23	53	23b	141	69	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		6	66	F#4	4	171
27	24	54	24b	142	70	2.0	0	0	3/4	2	1	1/2	1/2	1		1	55	G3	3	177
27	24	54	24b	142	70	1.0	0	0	3/4	1	1	1/4	1/4	1		3	69	A4	4	175
27	24	54	24b	143	71	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		1	67	G4	4	176
28	24	55	24b	144	72	0.5	0	1/2	3/4	2	1	1/8	1/8	1		4	52	E3	3	180
28	24	55	24b	144	72	0.5	0	1/2	3/4	1	1	1/8	1/8	1		1	79	G5	5	178
28	24	55	24b	289/2	145/2	0.5	1/8	5/8	3/4	2	1	1/8	1/8	1		1	55	G3	3	181
28	24	55	24b	289/2	145/2	0.5	1/8	5/8	3/4	1	1	1/8	1/8	1		4	76	E5	5	179
29	25	56	25a	145	73	1.0	0	0	3/4	2	1	1/4	1/4	1		3	57	A3	3	187
29	25	56	25a	145	73	1.0	0	0	3/4	2	2	1/4	1/4	1		3	57	A3	3	190
29	25	56	25a	145	73	0.5	0	0	3/4	1	1	1/8	1/8	1		7	73	C#5	5	182
29	25	56	25a	291/2	147/2	0.5	1/8	1/8	3/4	1	1	1/8	1/8	1		7	73	C#5	5	183
29	25	56	25a	146	74	1.0	1/4	1/4	3/4	2	2	1/4	1/4	1		1	55	G3	3	191
29	25	56	25a	146	74	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		3	57	A3	3	188
29	25	56	25a	146	74	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		7	73	C#5	5	184
29	25	56	25a	147	75	0.5	1/2	1/2	3/4	2	2	1/8	1/8	1		-1	53	F3	3	192
29	25	56	25a	147	75	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		3	57	A3	3	189
29	25	56	25a	147	75	0.5	1/2	1/2	3/4	1	1	1/8	1/8	1		2	74	D5	5	185
29	25	56	25a	295/2	151/2	0.5	5/8	5/8	3/4	2	2	1/8	1/8	1		4	52	E3	3	193
29	25	56	25a	295/2	151/2	0.5	5/8	5/8	3/4	1	1	1/8	1/8	1		4	76	E5	5	186
30	26	57	26a	148	76	1.0	0	0	3/4	2	2	1/4	1/4	1		4	52	E3	3	200
30	26	57	26a	148	76	2.0	0	0	3/4	2	1	1/2	1/2	1		3	57	A3	3	198
30	26	57	26a	148	76	1.0	0	0	3/4	1	1	1/4	1/4	1		4	76	E5	5	194
30	26	57	26a	149	77	1.0	1/4	1/4	3/4	2	2	1/4	1/4	1		2	50	D3	3	201
30	26	57	26a	149	77	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		-1	77	F5	5	195
30	26	57	26a	150	78	0.5	1/2	1/2	3/4	2	2	1/8	1/8	1		2	50	D3	3	202
30	26	57	26a	150	78	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		3	57	A3	3	199
30	26	57	26a	150	78	0.5	1/2	1/2	3/4	1	1	1/8	1/8	1		-1	77	F5	5	196
30	26	57	26a	301/2	157/2	0.5	5/8	5/8	3/4	2	2	1/8	1/8	1		-1	53	F3	3	203
30	26	57	26a	301/2	157/2	0.5	5/8	5/8	3/4	1	1	1/8	1/8	1		2	74	D5	5	197
31	27	58	27a	151	79	1.0	0	0	3/4	2	1	1/4	1/4	1		1	55	G3	3	208
31	27	58	27a	151	79	1.0	0	0	3/4	2	2	1/4	1/4	1		1	55	G3	3	211
31	27	58	27a	151	79	1.0	0	0	3/4	1	1	1/4	1/4	1		5	71	B4	4	204
31	27	58	27a	152	80	1.0	1/4	1/4	3/4	2	2	1/4	1/4	1		-1	53	F3	3	212
31	27	58	27a	152	80	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		1	55	G3	3	209
31	27	58	27a	152	80	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		5	71	B4	4	205
31	27	58	27a	153	81	0.5	1/2	1/2	3/4	2	2	1/8	1/8	1		4	52	E3	3	213
31	27	58	27a	153	81	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		1	55	G3	3	210
31	27	58	27a	153	81	0.5	1/2	1/2	3/4	1	1	1/8	1/8	1		0	72	C5	5	206
31	27	58	27a	307/2	163/2	0.5	5/8	5/8	3/4	2	2	1/8	1/8	1		2	50	D3	3	214
31	27	58	27a	307/2	163/2	0.5	5/8	5/8	3/4	1	1	1/8	1/8	1		2	74	D5	5	207
32	28	59	28a	154	82	1.0	0	0	3/4	2	2	1/4	1/4	1		2	50	D3	3	226
32	28	59	28a	154	82	2.0	0	0	3/4	2	1	1/2	1/2	1		1	55	G3	3	221
32	28	59	28a	154	82	1.0	0	0	3/4	1	1	1/4	1/4	1		2	74	D5	5	215
32	28	59	28a	155	83	1.0	1/4	1/4	3/4	2	2	1/4	1/4	1		0	48	C3	3	227
32	28	59	28a	155	83	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		4	76	E5	5	216
32	28	59	28a	156	84	0.25	1/2	1/2	3/4	2	1	1/16	1/16	1		-1	65	F4	4	222
32	28	59	28a	156	84	0.25	1/2	1/2	3/4	1	1	1/16	1/16	1		3	81	A5	5	217
32	28	59	28a	625/4	337/4	0.25	9/16	9/16	3/4	2	1	1/16	1/16	1		4	64	E4	4	223
32	28	59	28a	625/4	337/4	0.25	9/16	9/16	3/4	1	1	1/16	1/16	1		1	79	G5	5	218
32	28	59	28a	313/2	169/2	0.25	5/8	5/8	3/4	2	1	1/16	1/16	1		2	62	D4	4	224
32	28	59	28a	313/2	169/2	0.25	5/8	5/8	3/4	1	1	1/16	1/16	1		-1	77	F5	5	219
32	28	59	28a	627/4	339/4	0.25	11/16	11/16	3/4	2	1	1/16	1/16	1		0	60	C4	4	225
32	28	59	28a	627/4	339/4	0.25	11/16	11/16	3/4	1	1	1/16	1/16	1		4	76	E5	5	220
33	29	60	29a	157	85	2.0	0	0	3/4	2	1	1/2	1/2	1		5	59	B3	3	234
33	29	60	29a	157	85	1.0	0	0	3/4	1	1	1/4	1/4	1		2	74	D5	5	228
33	29	60	29a	158	86	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		2	86	D6	6	229
33	29	60	29a	159	87	0.25	1/2	1/2	3/4	2	1	1/16	1/16	1		4	64	E4	4	235
33	29	60	29a	159	87	0.25	1/2	1/2	3/4	1	1	1/16	1/16	1		1	79	G5	5	230
33	29	60	29a	637/4	349/4	0.25	9/16	9/16	3/4	2	1	1/16	1/16	1		2	62	D4	4	236
33	29	60	29a	637/4	349/4	0.25	9/16	9/16	3/4	1	1	1/16	1/16	1		-1	77	F5	5	231
33	29	60	29a	319/2	175/2	0.25	5/8	5/8	3/4	2	1	1/16	1/16	1		0	60	C4	4	237
33	29	60	29a	319/2	175/2	0.25	5/8	5/8	3/4	1	1	1/16	1/16	1		4	76	E5	5	232
33	29	60	29a	639/4	351/4	0.25	11/16	11/16	3/4	2	1	1/16	1/16	1		5	59	B3	3	238
33	29	60	29a	639/4	351/4	0.25	11/16	11/16	3/4	1	1	1/16	1/16	1		2	74	D5	5	233
34	30	61	30a	160	88	2.0	0	0	3/4	2	1	1/2	1/2	1		3	57	A3	3	245
34	30	61	30a	160	88	1.0	0	0	3/4	1	1	1/4	1/4	1		0	72	C5	5	239
34	30	61	30a	161	89	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		0	84	C6	6	240
34	30	61	30a	162	90	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		4	52	E3	3	246
34	30	61	30a	162	90	0.25	1/2	1/2	3/4	1	1	1/16	1/16	1		1	79	G5	5	241
34	30	61	30a	649/4	361/4	0.25	9/16	9/16	3/4	1	1	1/16	1/16	1		4	76	E5	5	242
34	30	61	30a	325/2	181/2	0.25	5/8	5/8	3/4	1	1	1/16	1/16	1		2	74	D5	5	243
34	30	61	30a	651/4	363/4	0.25	11/16	11/16	3/4	1	1	1/16	1/16	1		0	72	C5	5	244
35	31	62	31a	163	91	1.0	0	0	3/4	2	1	1/4	1/4	1		-1	53	F3	3	250
35	31	62	31a	163	91	1.0	0	0	3/4	1	1	1/4	1/4	1		3	81	A5	5	247
35	31	62	31a	164	92	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		1	55	G3	3	251
35	31	62	31a	164	92	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		1	79	G5	5	248
35	31	62	31a	165	93	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		1	43	G2	2	252
35	31	62	31a	165	93	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		5	71	B4	4	249
36	32	63	32a	166	94	2.0	0	0	3/4	2	1	1/2	1/2	1		0	48	C3	3	255
36	32	63	32a	166	94	1.0	0	0	3/4	1	1	1/4	1/4	1		2	74	D5	5	253
36	32	63	32a	167	95	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		0	72	C5	5	254
28	24	64	32a	168	72	0.5	0	1/2	3/4	2	1	1/8	1/8	1		4	52	E3	3	180
28	24	64	32a	168	72	0.5	0	1/2	3/4	1	1	1/8	1/8	1		1	79	G5	5	178
28	24	64	32a	337/2	145/2	0.5	1/8	5/8	3/4	2	1	1/8	1/8	1		1	55	G3	3	181
28	24	64	32a	337/2	145/2	0.5	1/8	5/8	3/4	1	1	1/8	1/8	1		4	76	E5	5	179
29	25	65	25b	169	73	1.0	0	0	3/4	2	1	1/4	1/4	1		3	57	A3	3	187
29	25	65	25b	169	73	1.0	0	0	3/4	2	2	1/4	1/4	1		3	57	A3	3	190
29	25	65	25b	169	73	0.5	0	0	3/4	1	1	1/8	1/8	1		7	73	C#5	5	182
29	25	65	25b	339/2	147/2	0.5	1/8	1/8	3/4	1	1	1/8	1/8	1		7	73	C#5	5	183
29	25	65	25b	170	74	1.0	1/4	1/4	3/4	2	2	1/4	1/4	1		1	55	G3	3	191
29	25	65	25b	170	74	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		3	57	A3	3	188
29	25	65	25b	170	74	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		7	73	C#5	5	184
29	25	65	25b	171	75	0.5	1/2	1/2	3/4	2	2	1/8	1/8	1		-1	53	F3	3	192
29	25	65	25b	171	75	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		3	57	A3	3	189
29	25	65	25b	171	75	0.5	1/2	1/2	3/4	1	1	1/8	1/8	1		2	74	D5	5	185
29	25	65	25b	343/2	151/2	0.5	5/8	5/8	3/4	2	2	1/8	1/8	1		4	52	E3	3	193
29	25	65	25b	343/2	151/2	0.5	5/8	5/8	3/4	1	1	1/8	1/8	1		4	76	E5	5	186
30	26	66	26b	172	76	1.0	0	0	3/4	2	2	1/4	1/4	1		4	52	E3	3	200
30	26	66	26b	172	76	2.0	0	0	3/4	2	1	1/2	1/2	1		3	57	A3	3	198
30	26	66	26b	172	76	1.0	0	0	3/4	1	1	1/4	1/4	1		4	76	E5	5	194
30	26	66	26b	173	77	1.0	1/4	1/4	3/4	2	2	1/4	1/4	1		2	50	D3	3	201
30	26	66	26b	173	77	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		-1	77	F5	5	195
30	26	66	26b	174	78	0.5	1/2	1/2	3/4	2	2	1/8	1/8	1		2	50	D3	3	202
30	26	66	26b	174	78	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		3	57	A3	3	199
30	26	66	26b	174	78	0.5	1/2	1/2	3/4	1	1	1/8	1/8	1		-1	77	F5	5	196
30	26	66	26b	349/2	157/2	0.5	5/8	5/8	3/4	2	2	1/8	1/8	1		-1	53	F3	3	203
30	26	66	26b	349/2	157/2	0.5	5/8	5/8	3/4	1	1	1/8	1/8	1		2	74	D5	5	197
31	27	67	27b	175	79	1.0	0	0	3/4	2	1	1/4	1/4	1		1	55	G3	3	208
31	27	67	27b	175	79	1.0	0	0	3/4	2	2	1/4	1/4	1		1	55	G3	3	211
31	27	67	27b	175	79	1.0	0	0	3/4	1	1	1/4	1/4	1		5	71	B4	4	204
31	27	67	27b	176	80	1.0	1/4	1/4	3/4	2	2	1/4	1/4	1		-1	53	F3	3	212
31	27	67	27b	176	80	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		1	55	G3	3	209
31	27	67	27b	176	80	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		5	71	B4	4	205
31	27	67	27b	177	81	0.5	1/2	1/2	3/4	2	2	1/8	1/8	1		4	52	E3	3	213
31	27	67	27b	177	81	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		1	55	G3	3	210
31	27	67	27b	177	81	0.5	1/2	1/2	3/4	1	1	1/8	1/8	1		0	72	C5	5	206
31	27	67	27b	355/2	163/2	0.5	5/8	5/8	3/4	2	2	1/8	1/8	1		2	50	D3	3	214
31	27	67	27b	355/2	163/2	0.5	5/8	5/8	3/4	1	1	1/8	1/8	1		2	74	D5	5	207
32	28	68	28b	178	82	1.0	0	0	3/4	2	2	1/4	1/4	1		2	50	D3	3	226
32	28	68	28b	178	82	2.0	0	0	3/4	2	1	1/2	1/2	1		1	55	G3	3	221
32	28	68	28b	178	82	1.0	0	0	3/4	1	1	1/4	1/4	1		2	74	D5	5	215
32	28	68	28b	179	83	1.0	1/4	1/4	3/4	2	2	1/4	1/4	1		0	48	C3	3	227
32	28	68	28b	179	83	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		4	76	E5	5	216
32	28	68	28b	180	84	0.25	1/2	1/2	3/4	2	1	1/16	1/16	1		-1	65	F4	4	222
32	28	68	28b	180	84	0.25	1/2	1/2	3/4	1	1	1/16	1/16	1		3	81	A5	5	217
32	28	68	28b	721/4	337/4	0.25	9/16	9/16	3/4	2	1	1/16	1/16	1		4	64	E4	4	223
32	28	68	28b	721/4	337/4	0.25	9/16	9/16	3/4	1	1	1/16	1/16	1		1	79	G5	5	218
32	28	68	28b	361/2	169/2	0.25	5/8	5/8	3/4	2	1	1/16	1/16	1		2	62	D4	4	224
32	28	68	28b	361/2	169/2	0.25	5/8	5/8	3/4	1	1	1/16	1/16	1		-1	77	F5	5	219
32	28	68	28b	723/4	339/4	0.25	11/16	11/16	3/4	2	1	1/16	1/16	1		0	60	C4	4	225
32	28	68	28b	723/4	339/4	0.25	11/16	11/16	3/4	1	1	1/16	1/16	1		4	76	E5	5	220
33	29	69	29b	181	85	2.0	0	0	3/4	2	1	1/2	1/2	1		5	59	B3	3	234
33	29	69	29b	181	85	1.0	0	0	3/4	1	1	1/4	1/4	1		2	74	D5	5	228
33	29	69	29b	182	86	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		2	86	D6	6	229
33	29	69	29b	183	87	0.25	1/2	1/2	3/4	2	1	1/16	1/16	1		4	64	E4	4	235
33	29	69	29b	183	87	0.25	1/2	1/2	3/4	1	1	1/16	1/16	1		1	79	G5	5	230
33	29	69	29b	733/4	349/4	0.25	9/16	9/16	3/4	2	1	1/16	1/16	1		2	62	D4	4	236
33	29	69	29b	733/4	349/4	0.25	9/16	9/16	3/4	1	1	1/16	1/16	1		-1	77	F5	5	231
33	29	69	29b	367/2	175/2	0.25	5/8	5/8	3/4	2	1	1/16	1/16	1		0	60	C4	4	237
33	29	69	29b	367/2	175/2	0.25	5/8	5/8	3/4	1	1	1/16	1/16	1		4	76	E5	5	232
33	29	69	29b	735/4	351/4	0.25	11/16	11/16	3/4	2	1	1/16	1/16	1		5	59	B3	3	238
33	29	69	29b	735/4	351/4	0.25	11/16	11/16	3/4	1	1	1/16	1/16	1		2	74	D5	5	233
34	30	70	30b	184	88	2.0	0	0	3/4	2	1	1/2	1/2	1		3	57	A3	3	245
34	30	70	30b	184	88	1.0	0	0	3/4	1	1	1/4	1/4	1		0	72	C5	5	239
34	30	70	30b	185	89	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		0	84	C6	6	240
34	30	70	30b	186	90	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		4	52	E3	3	246
34	30	70	30b	186	90	0.25	1/2	1/2	3/4	1	1	1/16	1/16	1		1	79	G5	5	241
34	30	70	30b	745/4	361/4	0.25	9/16	9/16	3/4	1	1	1/16	1/16	1		4	76	E5	5	242
34	30	70	30b	373/2	181/2	0.25	5/8	5/8	3/4	1	1	1/16	1/16	1		2	74	D5	5	243
34	30	70	30b	747/4	363/4	0.25	11/16	11/16	3/4	1	1	1/16	1/16	1		0	72	C5	5	244
35	31	71	31b	187	91	1.0	0	0	3/4	2	1	1/4	1/4	1		-1	53	F3	3	250
35	31	71	31b	187	91	1.0	0	0	3/4	1	1	1/4	1/4	1		3	81	A5	5	247
