mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
4	4	13	13	3.0		1/4	1/4	Chord	4/4	2	2	3/4		1/2	3/2	55									
5	5	52/3	52/3	0.3333333333333333		1/3	1/3	Chord	4/4	1	1	1/12		1/8	2/3	56									4
5	5	53/3	53/3	0.3333333333333333		5/12	5/12	Chord	4/4	1	1	1/12		1/8	2/3	57									4
5	5	18	18	0.3333333333333333		1/2	1/2	Chord	4/4	1	1	1/12		1/8	2/3	58									4
5	5	55/3	55/3	0.3333333333333333		7/12	7/12	Chord	4/4	1	1	1/12		1/8	2/3	59									4
5	5	56/3	56/3	0.3333333333333333		2/3	2/3	Chord	4/4	1	1	1/12		1/8	2/3	60									4
5	5	19	19	0.3333333333333333		3/4	3/4	Chord	4/4	1	1	1/12		1/8	2/3	61									4
5	5	58/3	58/3	0.3333333333333333		5/6	5/6	Chord	4/4	1	1	1/12		1/8	2/3	62									4
5	5	59/3	59/3	0.3333333333333333		11/12	11/12	Chord	4/4	1	1	1/12		1/8	2/3	63									
5	5	16	16	0.3333333333333333		0	0	Chord	4/4	2	1	1/12		1/8	2/3	64									
5	5	49/3	49/3	0.3333333333333333		1/12	1/12	Chord	4/4	2	1	1/12		1/8	2/3	65									
5	5	50/3	50/3	0.3333333333333333		1/6	1/6	Chord	4/4	2	1	1/12		1/8	2/3	66									
5	5	17	17	3.0		1/4	1/4	Chord	4/4	2	1	3/4		1/2	3/2	67									
5	5	16	16	1.0		0	0	Chord	4/4	2	2	1/4		1/4	1	68									
5	5	17	17	3.0		1/4	1/4	Chord	4/4	2	2	3/4		1/2	3/2	69									
6	6	64/3	64/3	0.3333333333333333		1/3	1/3	Chord	4/4	1	1	1/12		1/8	2/3	70									5
6	6	65/3	65/3	0.3333333333333333		5/12	5/12	Chord	4/4	1	1	1/12		1/8	2/3	71									5
6	6	22	22	0.3333333333333333		1/2	1/2	Chord	4/4	1	1	1/12		1/8	2/3	72									5
6	6	67/3	67/3	0.3333333333333333		7/12	7/12	Chord	4/4	1	1	1/12		1/8	2/3	73									5
6	6	68/3	68/3	0.3333333333333333		2/3	2/3	Chord	4/4	1	1	1/12		1/8	2/3	74									5
6	6	23	23	0.3333333333333333		3/4	3/4	Chord	4/4	1	1	1/12		1/8	2/3	75									5
6	6	70/3	70/3	0.3333333333333333		5/6	5/6	Chord	4/4	1	1	1/12		1/8	2/3	76									5
6	6	71/3	71/3	0.3333333333333333		11/12	11/12	Chord	4/4	1	1	1/12		1/8	2/3	77									
6	6	20	20	0.3333333333333333		0	0	Chord	4/4	2	1	1/12		1/8	2/3	78									
6	6	61/3	61/3	0.3333333333333333		1/12	1/12	Chord	4/4	2	1	1/12		1/8	2/3	79									
6	6	62/3	62/3	0.3333333333333333		1/6	1/6	Chord	4/4	2	1	1/12		1/8	2/3	80									
6	6	21	21	3.0		1/4	1/4	Chord	4/4	2	1	3/4		1/2	3/2	81									
6	6	20	20	1.0		0	0	Chord	4/4	2	2	1/4		1/4	1	82									
6	6	21	21	3.0		1/4	1/4	Chord	4/4	2	2	3/4		1/2	3/2	83									
7	7	25	25	0.3333333333333333		1/4	1/4	Chord	4/4	1	1	1/12		1/8	2/3	84									
7	7	76/3	76/3	0.3333333333333333		1/3	1/3	Chord	4/4	1	1	1/12		1/8	2/3	85									
7	7	77/3	77/3	0.3333333333333333		5/12	5/12	Chord	4/4	1	1	1/12		1/8	2/3	86									
7	7	26	26	1.0		1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	87									
7	7	27	27	0.3333333333333333		3/4	3/4	Chord	4/4	1	1	1/12		1/8	2/3	88									
7	7	82/3	82/3	0.3333333333333333		5/6	5/6	Chord	4/4	1	1	1/12		1/8	2/3	89									
7	7	83/3	83/3	0.3333333333333333		11/12	11/12	Chord	4/4	1	1	1/12		1/8	2/3	90									
7	7	24	24	0.0		0	0	Dynamic	4/4	2	1	0					mf								
7	7	24	24	0.3333333333333333		0	0	Chord	4/4	2	1	1/12		1/8	2/3	91									
7	7	73/3	73/3	0.3333333333333333		1/12	1/12	Chord	4/4	2	1	1/12		1/8	2/3	92									
7	7	74/3	74/3	0.3333333333333333		1/6	1/6	Chord	4/4	2	1	1/12		1/8	2/3	93									
7	7	25	25	1.0		1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	94									
7	7	26	26	0.3333333333333333		1/2	1/2	Chord	4/4	2	1	1/12		1/8	2/3	95									
7	7	79/3	79/3	0.3333333333333333		7/12	7/12	Chord	4/4	2	1	1/12		1/8	2/3	96									
7	7	80/3	80/3	0.3333333333333333		2/3	2/3	Chord	4/4	2	1	1/12		1/8	2/3	97									6
7	7	27	27	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	98									
7	7	24	24	2.0		0	0	Chord	4/4	2	2	1/2		1/2	1	99									
7	7	26	26	2.0		1/2	1/2	Chord	4/4	2	2	1/2		1/2	1	100									
8	8	28	28	1.0		0	0	Chord	4/4	1	1	1/4		1/4	1	101									
8	8	29	29	0.3333333333333333		1/4	1/4	Chord	4/4	1	1	1/12		1/8	2/3	102									
8	8	88/3	88/3	0.3333333333333333		1/3	1/3	Chord	4/4	1	1	1/12		1/8	2/3	103									
8	8	89/3	89/3	0.3333333333333333		5/12	5/12	Chord	4/4	1	1	1/12		1/8	2/3	104									
8	8	30	30	1.0		1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	105									
8	8	31	31	0.3333333333333333		3/4	3/4	Chord	4/4	1	1	1/12		1/8	2/3	106									
8	8	94/3	94/3	0.3333333333333333		5/6	5/6	Chord	4/4	1	1	1/12		1/8	2/3	107									
8	8	95/3	95/3	0.3333333333333333		11/12	11/12	Chord	4/4	1	1	1/12		1/8	2/3	108									
8	8	28	28	0.3333333333333333		0	0	Chord	4/4	2	1	1/12		1/8	2/3	109									
8	8	85/3	85/3	0.3333333333333333		1/12	1/12	Chord	4/4	2	1	1/12		1/8	2/3	110									
8	8	86/3	86/3	0.3333333333333333		1/6	1/6	Chord	4/4	2	1	1/12		1/8	2/3	111									
8	8	29	29	1.0		1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	112									
8	8	30	30	0.3333333333333333		1/2	1/2	Chord	4/4	2	1	1/12		1/8	2/3	113									
8	8	91/3	91/3	0.3333333333333333		7/12	7/12	Chord	4/4	2	1	1/12		1/8	2/3	114									
8	8	92/3	92/3	0.3333333333333333		2/3	2/3	Chord	4/4	2	1	1/12		1/8	2/3	115									
8	8	31	31	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	116									
8	8	28	28	2.0		0	0	Chord	4/4	2	2	1/2		1/2	1	117									
8	8	30	30	2.0		1/2	1/2	Chord	4/4	2	2	1/2		1/2	1	118									
9	9	33	33	0.0		1/4	1/4	Dynamic	4/4	1	1	0					p								
9	9	100/3	100/3	0.3333333333333333		1/3	1/3	Chord	4/4	1	1	1/12		1/8	2/3	119									
9	9	101/3	101/3	0.3333333333333333		5/12	5/12	Chord	4/4	1	1	1/12		1/8	2/3	120									
9	9	34	34	0.3333333333333333		1/2	1/2	Chord	4/4	1	1	1/12		1/8	2/3	121									
9	9	103/3	103/3	0.0		7/12	7/12	Dynamic	4/4	1	1	0					mf								
9	9	103/3	103/3	0.3333333333333333		7/12	7/12	Chord	4/4	1	1	1/12		1/8	2/3	122									
9	9	104/3	104/3	0.3333333333333333		2/3	2/3	Chord	4/4	1	1	1/12		1/8	2/3	123									
9	9	35	35	0.3333333333333333		3/4	3/4	Chord	4/4	1	1	1/12		1/8	2/3	124									
9	9	106/3	106/3	0.3333333333333333		5/6	5/6	Chord	4/4	1	1	1/12		1/8	2/3	125									
9	9	107/3	107/3	0.3333333333333333		11/12	11/12	Chord	4/4	1	1	1/12		1/8	2/3	126									
9	9	32	32	0.3333333333333333		0	0	Chord	4/4	2	1	1/12		1/8	2/3	127									7
9	9	97/3	97/3	0.3333333333333333		1/12	1/12	Chord	4/4	2	1	1/12		1/8	2/3	128									7
9	9	98/3	98/3	0.3333333333333333		1/6	1/6	Chord	4/4	2	1	1/12		1/8	2/3	129									7
9	9	33	33	1.0		1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	130									
10	10	36	36	0.3333333333333333		0	0	Chord	4/4	1	1	1/12		1/8	2/3	131									
10	10	109/3	109/3	0.3333333333333333		1/12	1/12	Chord	4/4	1	1	1/12		1/8	2/3	132									
10	10	110/3	110/3	0.3333333333333333		1/6	1/6	Chord	4/4	1	1	1/12		1/8	2/3	133									
10	10	37	37	0.3333333333333333		1/4	1/4	Chord	4/4	1	1	1/12		1/8	2/3	134									
10	10	112/3	112/3	0.3333333333333333		1/3	1/3	Chord	4/4	1	1	1/12		1/8	2/3	135									
10	10	113/3	113/3	0.3333333333333333		5/12	5/12	Chord	4/4	1	1	1/12		1/8	2/3	136									
10	10	38	38	0.0		1/2	1/2	Dynamic	4/4	1	1	0					mp								
10	10	38	38	0.3333333333333333		1/2	1/2	Chord	4/4	1	1	1/12		1/8	2/3	137									
10	10	115/3	115/3	0.3333333333333333		7/12	7/12	Chord	4/4	1	1	1/12		1/8	2/3	138									
10	10	116/3	116/3	0.3333333333333333		2/3	2/3	Chord	4/4	1	1	1/12		1/8	2/3	139									
10	10	39	39	0.3333333333333333		3/4	3/4	Chord	4/4	1	1	1/12		1/8	2/3	140									
10	10	118/3	118/3	0.3333333333333333		5/6	5/6	Chord	4/4	1	1	1/12		1/8	2/3	141									
10	10	119/3	119/3	0.3333333333333333		11/12	11/12	Chord	4/4	1	1	1/12		1/8	2/3	142									
11	11	40	40	0.0		0	0	Tempo	4/4	1	1	0								𝅘𝅥=60	60.0	𝅘𝅥	60.0	0.0	
11	11	40	40	2.0		0	0	Chord	4/4	2	1	1/2		1/2	1	143									
