mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
22	22	171/2	171/2	0.125		3/8	3/8	Chord	4/4	1	1	1/32		1/32	1	253									16
22	22	685/8	685/8	0.125		13/32	13/32	Chord	4/4	1	1	1/32		1/32	1	254									16
22	22	343/4	343/4	0.125		7/16	7/16	Chord	4/4	1	1	1/32		1/32	1	255									16
22	22	687/8	687/8	0.125		15/32	15/32	Chord	4/4	1	1	1/32		1/32	1	256									16
22	22	86	86	1.0		1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	257									
22	22	351/4	351/4	0.0		15/16	15/16	Dynamic	4/4	1	1	0					p								
22	22	351/4	351/4	0.25		15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	258		articStaccatissimoBelow							
22	22	84	84	2.0		0	0	Chord	4/4	1	2	1/2		1/2	1	259									
22	22	86	86	1.0		1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	260									
22	22	84	84	2.0		0	0	Chord	4/4	2	1	1/2		1/2	1	261									
22	22	86	86	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	262									
23	23	88	88	0.25		0	0	Chord	4/4	1	1	1/16		1/16	1	263									17
23	23	353/4	353/4	0.25		1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	264									
23	23	355/4	355/4	0.25		3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	265		articStaccatissimoBelow							
23	23	89	89	0.25		1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	266									18
23	23	357/4	357/4	0.25		5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	267									
23	23	359/4	359/4	0.25		7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	268		articStaccatissimoBelow							
23	23	90	90	0.25		1/2	1/2	Chord	4/4	1	1	1/16		1/16	1	269									19
23	23	361/4	361/4	0.25		9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	270									
23	23	363/4	363/4	0.25		11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	271		articStaccatissimoBelow							
23	23	365/4	365/4	0.25		13/16	13/16	Chord	4/4	1	1	1/16		1/16	1	272									
23	23	367/4	367/4	0.25		15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	273									
23	23	177/2	177/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	274									
23	23	89	89	0.5		1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	275									
23	23	179/2	179/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	276									
23	23	90	90	0.5		1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	277									
23	23	181/2	181/2	0.5		5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	278									
23	23	91	91	0.5		3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	279									
23	23	183/2	183/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	280									
24	24	92	92	0.25		0	0	Chord	4/4	1	1	1/16		1/16	1	281									20
24	24	369/4	369/4	0.25		1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	282									
24	24	371/4	371/4	0.25		3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	283		articStaccatissimoAbove							
24	24	93	93	0.25		1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	284									21
24	24	373/4	373/4	0.25		5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	285									
24	24	375/4	375/4	0.25		7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	286		articStaccatissimoAbove							
24	24	94	94	0.25		1/2	1/2	Chord	4/4	1	1	1/16		1/16	1	287									22
24	24	377/4	377/4	0.25		9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	288									
24	24	379/4	379/4	0.25		11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	289		articStaccatissimoAbove							
24	24	381/4	381/4	0.25		13/16	13/16	Chord	4/4	1	1	1/16		1/16	1	290									
24	24	383/4	383/4	0.25		15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	291									
24	24	185/2	185/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	292									
24	24	93	93	0.5		1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	293									
24	24	187/2	187/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	294									
24	24	94	94	0.5		1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	295									
24	24	189/2	189/2	0.5		5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	296									
24	24	95	95	0.5		3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	297									
24	24	191/2	191/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	298									
25	25	96	96	0.25		0	0	Chord	4/4	1	1	1/16		1/16	1	299									23
25	25	385/4	385/4	0.25		1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	300									
25	25	387/4	387/4	0.25		3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	301		articStaccatissimoAbove							
25	25	97	97	0.25		1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	302									24
25	25	389/4	389/4	0.25		5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	303									
25	25	391/4	391/4	0.25		7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	304		articStaccatissimoAbove							
25	25	98	98	0.25		1/2	1/2	Chord	4/4	1	1	1/16		1/16	1	305									25
25	25	393/4	393/4	0.25		9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	306									
25	25	395/4	395/4	0.25		11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	307		articStaccatissimoAbove							
25	25	397/4	397/4	0.25		13/16	13/16	Chord	4/4	1	1	1/16		1/16	1	308									
25	25	399/4	399/4	0.25		15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	309									
25	25	193/2	193/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	310									
25	25	97	97	0.5		1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	311									
25	25	195/2	195/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	312									
25	25	98	98	0.5		1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	313									
25	25	197/2	197/2	0.5		5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	314									
25	25	99	99	0.5		3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	315									
25	25	199/2	199/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	316									
26	26	100	100	0.25		0	0	Chord	4/4	1	1	1/16		1/16	1	317									26
26	26	401/4	401/4	0.25		1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	318									
26	26	403/4	403/4	0.0		3/16	3/16	Dynamic	4/4	1	1	0					other-dynamics								
26	26	403/4	403/4	0.25		3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	319									
26	26	405/4	405/4	0.25		5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	320									
26	26	407/4	407/4	0.25		7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	321									
26	26	409/4	409/4	0.25		9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	322									
26	26	411/4	411/4	0.25		11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	323									
26	26	413/4	413/4	0.0		13/16	13/16	Dynamic	4/4	1	1	0					f								
26	26	413/4	413/4	0.25		13/16	13/16	Chord	4/4	1	1	1/16		1/16	1	324									
26	26	415/4	415/4	0.0		15/16	15/16	Dynamic	4/4	1	1	0					p								
26	26	415/4	415/4	0.25		15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	325									
26	26	100	100	0.5		0	0	Chord	4/4	2	1	1/8		1/8	1	326									
26	26	201/2	201/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	327									
26	26	101	101	0.5		1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	328									
26	26	203/2	203/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	329									
26	26	102	102	0.5		1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	330									
26	26	205/2	205/2	0.5		5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	331									
26	26	103	103	0.5		3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	332									
26	26	207/2	207/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	333									
27	27	104	104	0.25		0	0	Chord	4/4	1	1	1/16		1/16	1	334									27
27	27	417/4	417/4	0.25		1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	335									
27	27	419/4	419/4	0.25		3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	336									
27	27	421/4	421/4	0.0		5/16	5/16	Dynamic	4/4	1	1	0					other-dynamics								
27	27	421/4	421/4	0.25		5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	337									
27	27	423/4	423/4	0.25		7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	338									
27	27	425/4	425/4	0.25		9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	339									
27	27	427/4	427/4	0.25		11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	340									
27	27	107	107	0.0		3/4	3/4	Dynamic	4/4	1	1	0					f								
27	27	429/4	429/4	0.25		13/16	13/16	Chord	4/4	1	1	1/16		1/16	1	341									
27	27	431/4	431/4	0.25		15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	342									
27	27	104	104	0.5		0	0	Chord	4/4	2	1	1/8		1/8	1	343									
27	27	209/2	209/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	344									
27	27	105	105	0.5		1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	345									
27	27	211/2	211/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	346									
27	27	106	106	0.5		1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	347									
27	27	213/2	213/2	0.5		5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	348									
27	27	107	107	0.5		3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	349									
27	27	215/2	215/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	350									
29	29	112	112	0.0		0	0	Dynamic	4/4	1	1	0					p								
29	29	112	112	1.75		0	0	Chord	4/4	1	1	7/16		1/4	7/4	351									
29	29	455/4	455/4	0.0		7/16	7/16	Dynamic	4/4	1	1	0					mf								
29	29	455/4	455/4	0.125		7/16	7/16	Chord	4/4	1	1	1/32		1/32	1	352									
29	29	911/8	911/8	0.125		15/32	15/32	Chord	4/4	1	1	1/32		1/32	1	353									
29	29	114	114	0.5		1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	354									
29	29	229/2	229/2	0.0		5/8	5/8	Dynamic	4/4	1	1	0					mp								
29	29	229/2	229/2	0.5		5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	355									
29	29	115	115	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	356									
29	29	231/2	231/2	0.0		7/8	7/8	Dynamic	4/4	1	1	0					p								
29	29	231/2	231/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	357									
29	29	225/2	225/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	358									
29	29	113	113	0.5		1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	359									
29	29	227/2	227/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	360									
29	29	229/2	229/2	0.5		5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	361									
29	29	115	115	0.5		3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	362									
29	29	231/2	231/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	363									
29	29	112	112	2.0		0	0	Chord	4/4	2	2	1/2		1/2	1	364									
29	29	114	114	2.0		1/2	1/2	Chord	4/4	2	2	1/2		1/2	1	365									
30	30	116	116	1.0		0	0	Chord	4/4	1	1	1/4		1/4	1	366									
30	30	471/4	471/4	0.25		7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	367		articStaccatissimoBelow							
30	30	118	118	0.5		1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	368									28
30	30	237/2	237/2	0.5		5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	369									
30	30	233/2	233/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	370									
30	30	117	117	0.5		1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	371									
30	30	235/2	235/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	372									
30	30	237/2	237/2	0.5		5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	373									
30	30	119	119	0.5		3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	374									
30	30	239/2	239/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	375									
30	30	116	116	2.0		0	0	Chord	4/4	2	2	1/2		1/2	1	376									
30	30	118	118	2.0		1/2	1/2	Chord	4/4	2	2	1/2		1/2	1	377									
31	31	120	120	1.75		0	0	Chord	4/4	1	1	7/16		1/4	7/4	378									
31	31	487/4	487/4	0.125		7/16	7/16	Chord	4/4	1	1	1/32		1/32	1	379									
31	31	975/8	975/8	0.125		15/32	15/32	Chord	4/4	1	1	1/32		1/32	1	380									
31	31	122	122	0.5		1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	381									
31	31	245/2	245/2	0.5		5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	382									
31	31	123	123	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	383									
31	31	247/2	247/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	384									
31	31	241/2	241/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	385									
31	31	121	121	0.5		1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	386									
31	31	243/2	243/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	387									
31	31	245/2	245/2	0.5		5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	388									
31	31	123	123	0.5		3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	389									
31	31	247/2	247/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	390									
31	31	120	120	2.0		0	0	Chord	4/4	2	2	1/2		1/2	1	391									
31	31	122	122	2.0		1/2	1/2	Chord	4/4	2	2	1/2		1/2	1	392									
32	32	124	124	0.0		0	0	Dynamic	4/4	1	1	0					p								
32	32	124	124	1.0		0	0	Chord	4/4	1	1	1/4		1/4	1	393									
32	32	503/4	503/4	0.25		7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	394		articStaccatissimoAbove							
32	32	126	126	0.5		1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	395									29
32	32	253/2	253/2	0.5		5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	396									
32	32	511/4	511/4	0.25		15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	397		articStaccatissimoAbove							
32	32	249/2	249/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	398									
32	32	125	125	0.5		1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	399									
32	32	251/2	251/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	400									
32	32	253/2	253/2	0.5		5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	401									
32	32	127	127	0.5		3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	402									
32	32	255/2	255/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	403									
32	32	124	124	2.0		0	0	Chord	4/4	2	2	1/2		1/2	1	404									
32	32	126	126	2.0		1/2	1/2	Chord	4/4	2	2	1/2		1/2	1	405									
33	33	128	128	0.0		0	0	Dynamic	4/4	1	1	0					other-dynamics								
33	33	128	128	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	406									30
33	33	257/2	257/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	407									
33	33	519/4	519/4	0.0		7/16	7/16	Dynamic	4/4	1	1	0					f								
33	33	519/4	519/4	0.25		7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	408		articStaccatissimoAbove							
33	33	130	130	0.5		1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	409									31
33	33	261/2	261/2	0.5		5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	410									
33	33	257/2	257/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	411									
33	33	129	129	0.5		1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	412									
33	33	259/2	259/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	413									
33	33	130	130	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	414									
33	33	128	128	2.0		0	0	Chord	4/4	2	2	1/2		1/2	1	415									
33	33	130	130	1.0		1/2	1/2	Chord	4/4	2	2	1/4		1/4	1	416									
34	34	132	132	0.0		0	0	StaffText	4/4	1	1	0							Presto						
34	34	132	132	0.0		0	0	Tempo	4/4	1	1	0								𝅘𝅥=130	130.0	𝅘𝅥	130.0	0.0	
34	34	529/4	529/4	0.25		1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	417									
34	34	265/2	265/2	0.25		1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	418									
34	34	531/4	531/4	0.25		3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	419									
34	34	133	133	0.25		1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	420									
34	34	533/4	533/4	0.25		5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	421									
34	34	267/2	267/2	0.25		3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	422									
34	34	535/4	535/4	0.25		7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	423									
34	34	134	134	0.25		1/2	1/2	Chord	4/4	1	1	1/16		1/16	1	424									
34	34	537/4	537/4	0.25		9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	425									
34	34	269/2	269/2	0.25		5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	426									
34	34	539/4	539/4	0.25		11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	427									
34	34	135	135	0.25		3/4	3/4	Chord	4/4	1	1	1/16		1/16	1	428									
34	34	541/4	541/4	0.25		13/16	13/16	Chord	4/4	1	1	1/16		1/16	1	429									
34	34	271/2	271/2	0.25		7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	430									
34	34	543/4	543/4	0.25		15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	431									
34	34	136	136	0.25		1	1	Chord	4/4	1	1	1/16		1/16	1	432									
34	34	545/4	545/4	0.25		17/16	17/16	Chord	4/4	1	1	1/16		1/16	1	433									
34	34	273/2	273/2	0.25		9/8	9/8	Chord	4/4	1	1	1/16		1/16	1	434									
34	34	547/4	547/4	0.25		19/16	19/16	Chord	4/4	1	1	1/16		1/16	1	435									
34	34	137	137	0.25		5/4	5/4	Chord	4/4	1	1	1/16		1/16	1	436									
34	34	549/4	549/4	0.25		21/16	21/16	Chord	4/4	1	1	1/16		1/16	1	437									
34	34	275/2	275/2	0.25		11/8	11/8	Chord	4/4	1	1	1/16		1/16	1	438									
34	34	551/4	551/4	0.25		23/16	23/16	Chord	4/4	1	1	1/16		1/16	1	439									
34	34	138	138	0.25		3/2	3/2	Chord	4/4	1	1	1/16		1/16	1	440									
34	34	553/4	553/4	0.25		25/16	25/16	Chord	4/4	1	1	1/16		1/16	1	441									
34	34	277/2	277/2	0.25		13/8	13/8	Chord	4/4	1	1	1/16		1/16	1	442									
34	34	555/4	555/4	0.25		27/16	27/16	Chord	4/4	1	1	1/16		1/16	1	443									
34	34	139	139	0.25		7/4	7/4	Chord	4/4	1	1	1/16		1/16	1	444									
34	34	557/4	557/4	0.25		29/16	29/16	Chord	4/4	1	1	1/16		1/16	1	445									
34	34	279/2	279/2	0.25		15/8	15/8	Chord	4/4	1	1	1/16		1/16	1	446									
34	34	559/4	559/4	0.25		31/16	31/16	Chord	4/4	1	1	1/16		1/16	1	447									
34	34	140	140	0.25		2	2	Chord	4/4	1	1	1/16		1/16	1	448									
34	34	561/4	561/4	0.25		33/16	33/16	Chord	4/4	1	1	1/16		1/16	1	449									
34	34	281/2	281/2	0.25		17/8	17/8	Chord	4/4	1	1	1/16		1/16	1	450									
34	34	563/4	563/4	0.25		35/16	35/16	Chord	4/4	1	1	1/16		1/16	1	451									
35	34	581/4	581/4	0.0		17/16	17/16	Tempo	4/4	1	1	0								𝅘𝅥=25	25.0	𝅘𝅥	25.0	0.0	
35	34	141	141	0.25		0	0	Chord	4/4	2	1	1/16		1/16	1	452									
35	34	565/4	565/4	0.25		1/16	1/16	Chord	4/4	2	1	1/16		1/16	1	453									
35	34	283/2	283/2	0.25		1/8	1/8	Chord	4/4	2	1	1/16		1/16	1	454									
35	34	567/4	567/4	0.25		3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	455									
35	34	142	142	0.25		1/4	1/4	Chord	4/4	2	1	1/16		1/16	1	456									
35	34	569/4	569/4	0.25		5/16	5/16	Chord	4/4	2	1	1/16		1/16	1	457									
35	34	285/2	285/2	0.25		3/8	3/8	Chord	4/4	2	1	1/16		1/16	1	458									
35	34	571/4	571/4	0.25		7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	459									
35	34	143	143	0.25		1/2	1/2	Chord	4/4	2	1	1/16		1/16	1	460									
35	34	573/4	573/4	0.25		9/16	9/16	Chord	4/4	2	1	1/16		1/16	1	461									
35	34	287/2	287/2	0.25		5/8	5/8	Chord	4/4	2	1	1/16		1/16	1	462									
35	34	575/4	575/4	0.25		11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	463									
35	34	144	144	0.25		3/4	3/4	Chord	4/4	2	1	1/16		1/16	1	464									
35	34	577/4	577/4	0.25		13/16	13/16	Chord	4/4	2	1	1/16		1/16	1	465									
35	34	289/2	289/2	0.25		7/8	7/8	Chord	4/4	2	1	1/16		1/16	1	466									
35	34	579/4	579/4	0.25		15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	467									
35	34	145	145	0.25		1	1	Chord	4/4	2	1	1/16		1/16	1	468									
35	34	581/4	581/4	0.5		17/16	17/16	Chord	4/4	2	1	1/8		1/8	1	469									
36	35	585/4	585/4	0.0		0	0	Tempo	4/4	1	1	0								TempoIº.	72.0			1.0	
36	35	585/4	585/4	0.0		0	0	Dynamic	4/4	1	1	0					f								
36	35	585/4	585/4	0.0		0	0	Tempo	4/4	1	1	0								𝅘𝅥=45	45.0	𝅘𝅥	45.0	0.0	
36	35	585/4	585/4	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	470									
36	35	587/4	587/4	0.5		1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	471									
36	35	589/4	589/4	0.5		1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	472									
36	35	591/4	591/4	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	473									
36	35	593/4	593/4	0.5		1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	474									
36	35	595/4	595/4	0.5		5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	475									
36	35	597/4	597/4	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	476									
36	35	599/4	599/4	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	477									
36	35	597/4	597/4	1.0		3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	478									
36	35	597/4	597/4	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	479									
37	36	601/4	601/4	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	480									
37	36	603/4	603/4	0.5		1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	481									
37	36	605/4	605/4	0.5		1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	482									
37	36	607/4	607/4	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	483									
37	36	609/4	609/4	0.5		1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	484									
37	36	611/4	611/4	0.5		5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	485									
37	36	613/4	613/4	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	486									
37	36	615/4	615/4	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	487									
37	36	601/4	601/4	1.0		0	0	Chord	4/4	1	2	1/4		1/4	1	488									
37	36	605/4	605/4	1.0		1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	489									
37	36	609/4	609/4	1.0		1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	490									
37	36	613/4	613/4	1.0		3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	491									
37	36	601/4	601/4	1.0		0	0	Chord	4/4	2	1	1/4		1/4	1	492									
37	36	605/4	605/4	1.0		1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	493									
37	36	609/4	609/4	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	494									
37	36	613/4	613/4	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	495									
38	37	617/4	617/4	1.5		0	0	Chord	4/4	1	1	3/8		1/4	3/2	496									32
38	37	623/4	623/4	0.125		3/8	3/8	Chord	4/4	1	1	1/32		1/32	1	497									32
38	37	1247/8	1247/8	0.125		13/32	13/32	Chord	4/4	1	1	1/32		1/32	1	498									32
38	37	156	156	0.125		7/16	7/16	Chord	4/4	1	1	1/32		1/32	1	499									32
38	37	1249/8	1249/8	0.125		15/32	15/32	Chord	4/4	1	1	1/32		1/32	1	500									32
38	37	625/4	625/4	1.0		1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	501									
38	37	158	158	0.0		15/16	15/16	Dynamic	4/4	1	1	0					p								
38	37	158	158	0.25		15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	502		articStaccatissimoAbove							
38	37	617/4	617/4	2.0		0	0	Chord	4/4	1	2	1/2		1/2	1	503									
38	37	625/4	625/4	1.0		1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	504									
38	37	617/4	617/4	2.0		0	0	Chord	4/4	2	1	1/2		1/2	1	505									
38	37	625/4	625/4	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	506									
39	38	633/4	633/4	0.25		0	0	Chord	4/4	1	1	1/16		1/16	1	507									33
39	38	317/2	317/2	0.25		1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	508									
39	38	159	159	0.25		3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	509		articStaccatissimoBelow							
39	38	637/4	637/4	0.25		1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	510									34
39	38	319/2	319/2	0.25		5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	511									
39	38	160	160	0.25		7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	512		articStaccatissimoBelow							
39	38	641/4	641/4	0.25		1/2	1/2	Chord	4/4	1	1	1/16		1/16	1	513									35
39	38	321/2	321/2	0.25		9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	514									
39	38	161	161	0.25		11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	515		articStaccatissimoBelow							
39	38	323/2	323/2	0.25		13/16	13/16	Chord	4/4	1	1	1/16		1/16	1	516									
39	38	162	162	0.25		15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	517		articStaccatissimoBelow							
39	38	635/4	635/4	0.5		1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	518									
39	38	637/4	637/4	0.5		1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	519									
39	38	639/4	639/4	0.5		3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	520									
