mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
13	11	31	31	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	67							
13	11	32	32	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	68							
13	11	33	33	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	69							
13	11	31	31	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	70							
13	11	32	32	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	71							
13	11	33	33	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	72							
14	12	34	34	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	73							15
14	12	35	35	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	74							
14	12	36	36	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	75							16
14	12	73/2	73/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	76							16
14	12	34	34	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	77							17
14	12	35	35	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	78							
15	13	37	37	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	79							
15	13	38	38	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	80							18
15	13	77/2	77/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	81							18
15	13	39	39	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	82							
15	13	37	37	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	83							
15	13	39	39	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	84							
16	14	40	40	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	85							19
16	14	81/2	81/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	86							19
16	14	41	41	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	87							19
16	14	83/2	83/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	88							19
16	14	42	42	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	89							
16	14	40	40	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	90							
16	14	41	41	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	91							
16	14	42	42	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	92							
17	15	43	43	0.3333333333333333	0	0	Chord	3/4	1	1	1/12	1/8	2/3	93							20
17	15	130/3	130/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12	1/8	2/3	94							20
17	15	131/3	131/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12	1/8	2/3	95							20
17	15	44	44	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	96							
17	15	45	45	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	97							
17	15	43	43	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	98							
17	15	44	44	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	99							
17	15	45	45	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	100							
18	16	46	46	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	101							
18	16	46	46	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	102							
19	16	48	48	0.0	0	1/2	StaffText	3/4	1	1	0				"<font size=""12""/><b>Trio</b>"						
19	16	48	48	0.5	0	1/2	Chord	3/4	1	1	1/8	1/8	1	103							21
19	16	97/2	97/2	0.5	1/8	5/8	Chord	3/4	1	1	1/8	1/8	1	104							21
19	16	48	48	0.5	0	1/2	Chord	3/4	2	1	1/8	1/8	1	105							22
19	16	97/2	97/2	0.5	1/8	5/8	Chord	3/4	2	1	1/8	1/8	1	106							22
20	17	49	49	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	107							
20	17	50	50	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	108							
20	17	51	51	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	109							23
20	17	103/2	103/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	110							
20	17	49	49	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	111							
20	17	50	50	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	112							
20	17	51	51	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	113							
20	17	49	49	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	114							
20	17	50	50	1.0	1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	115							
20	17	51	51	0.5	1/2	1/2	Chord	3/4	2	2	1/8	1/8	1	116							24
20	17	103/2	103/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8	1/8	1	117							
21	18	52	52	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	118							25
21	18	53	53	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	119							
21	18	54	54	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	120							26
21	18	109/2	109/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	121							26
21	18	52	52	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	122							
21	18	54	54	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	123							
21	18	52	52	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	124							
21	18	53	53	1.0	1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	125							
21	18	54	54	0.5	1/2	1/2	Chord	3/4	2	2	1/8	1/8	1	126							27
21	18	109/2	109/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8	1/8	1	127							27
22	19	55	55	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	128							
22	19	56	56	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	129							
22	19	57	57	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	130							28
22	19	115/2	115/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	131							
22	19	55	55	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	132							
22	19	56	56	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	133							
22	19	57	57	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	134							
22	19	55	55	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	135							
22	19	56	56	1.0	1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	136							
22	19	57	57	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	137							
23	20	58	58	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	138							29
23	20	59	59	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	139							
23	20	60	60	0.25	1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	140							30
23	20	241/4	241/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	141							30
23	20	121/2	121/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	142							30
23	20	243/4	243/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	143							30
23	20	58	58	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	144							
23	20	60	60	0.25	1/2	1/2	Chord	3/4	2	1	1/16	1/16	1	145							31
23	20	241/4	241/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16	1/16	1	146							31
23	20	121/2	121/2	0.25	5/8	5/8	Chord	3/4	2	1	1/16	1/16	1	147							31
23	20	243/4	243/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16	1/16	1	148							31
23	20	58	58	2.0	0	0	Chord	3/4	2	2	1/2	1/2	1	149							
24	21	61	61	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	150							
24	21	62	62	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	151							
24	21	63	63	0.25	1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	152							32
24	21	253/4	253/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	153							32
24	21	127/2	127/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	154							32
24	21	255/4	255/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	155							32
24	21	61	61	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	156							
24	21	63	63	0.25	1/2	1/2	Chord	3/4	2	1	1/16	1/16	1	157							33
24	21	253/4	253/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16	1/16	1	158							33
24	21	127/2	127/2	0.25	5/8	5/8	Chord	3/4	2	1	1/16	1/16	1	159							33
24	21	255/4	255/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16	1/16	1	160							33
25	22	64	64	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	161							
25	22	65	65	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	162							
25	22	66	66	0.25	1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	163							34
25	22	265/4	265/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	164							34
25	22	133/2	133/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	165							34
25	22	267/4	267/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	166							34
25	22	64	64	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	167							
25	22	66	66	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	168							
26	23	67	67	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	169							34
26	23	68	68	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	170							
26	23	69	69	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	171							
26	23	67	67	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	172							
26	23	68	68	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	173							
26	23	69	69	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	174							
27	24	70	70	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	175							35
27	24	71	71	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	176							
27	24	70	70	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	177							
28	24	72	72	0.5	0	1/2	Chord	3/4	1	1	1/8	1/8	1	178							36
28	24	145/2	145/2	0.5	1/8	5/8	Chord	3/4	1	1	1/8	1/8	1	179							36
28	24	72	72	0.5	0	1/2	Chord	3/4	2	1	1/8	1/8	1	180							37
28	24	145/2	145/2	0.5	1/8	5/8	Chord	3/4	2	1	1/8	1/8	1	181							37
29	25	73	73	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	182							
29	25	147/2	147/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	183							
29	25	74	74	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	184							
29	25	75	75	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	185							38
29	25	151/2	151/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	186							
29	25	73	73	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	187							
29	25	74	74	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	188							
29	25	75	75	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	189							
29	25	73	73	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	190							
29	25	74	74	1.0	1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	191							
29	25	75	75	0.5	1/2	1/2	Chord	3/4	2	2	1/8	1/8	1	192							39
29	25	151/2	151/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8	1/8	1	193							
30	26	76	76	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	194							40
30	26	77	77	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	195							
30	26	78	78	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	196							41
30	26	157/2	157/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	197							41
30	26	76	76	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	198							
30	26	78	78	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	199							
30	26	76	76	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	200							42
30	26	77	77	1.0	1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	201							
30	26	78	78	0.5	1/2	1/2	Chord	3/4	2	2	1/8	1/8	1	202							43
30	26	157/2	157/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8	1/8	1	203							43
31	27	79	79	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	204							
31	27	80	80	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	205							
31	27	81	81	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	206							44
31	27	163/2	163/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	207							
31	27	79	79	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	208							
31	27	80	80	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	209							
31	27	81	81	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	210							
31	27	79	79	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	211							
31	27	80	80	1.0	1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	212							
