time,measure,is_first_in_measure,beat,mn_playthrough
72.3,32,False,3,32b
72.9,33,True,1,33b
73.1513432835821,33,False,2,33b
73.58,33,False,3,33b
74.07777777777777,34,True,1,34b
74.44999999999999,34,False,2,34b
74.84,34,False,3,34b
75.4,35,True,1,35b
75.72,35,False,2,35b
76.14,35,False,3,35b
76.66,36,True,1,36b
77.66,36,False,2,36b
77.66,36,False,3,36b
