piece	TimeSig	KeySig	last_mc	last_mn	length_qb	last_mc_unfolded	last_mn_unfolded	length_qb_unfolded	volta_mcs	all_notes_qb	n_onsets	n_onset_positions	guitar_chord_count	form_label_count	label_count	composer	workTitle	movementNumber	movementTitle	workNumber	poet	lyricist	arranger	copyright	creationDate	mscVersion	platform	source	translator	title_text	subtitle_text	lyricist_text	composer_text	musescore	ms3_version	subdirectory	rel_path	has_drumset	ambitus	originalFormat	staff_1_instrument	staff_1_ambitus	staff_2_instrument	staff_2_ambitus
Fantasia_in_D_Minor_K.397	1: 4/4, 60: 2/4	1: -1, 60: 2	116	107	365.25	131	123	395.25	[[[75], [76]]]	878.17	1532	977	0	0	0									Transcrito por / transcripted by  Fábio Pio	2016-09-16	3.02	Microsoft Windows	https://musescore.com/user/2909056/scores/2633711		"<font face=""Times New Roman""/>Fantasia in D minor"	"<font face=""Times New Roman""/>K. 397/385g"		"<font face=""Times New Roman""/>W. A. Mozart
"	3.6.2	2.5.3	MS3	MS3/Fantasia_in_D_Minor_K.397.mscx	False	33-89 (A1-F6)		Piano	33-89 (A1-F6)	Piano	33-89 (A1-F6)
Minuet_in_G_Major_K.1	1: 3/4	1: 1, 19: 0	36	32	96.0	90	80	240.0		209.0	256	138	0	0	0	Wolfgang Amadeus Mozart	Minuet in G					K 1e			2026-02-17		Microsoft Windows	http://musescore.com/user/50070/scores/9461458		Minuet in G		K 1e	Wolfgang Amadeus Mozart	3.6.2	2.5.3	MS3	MS3/Minuet_in_G_Major_K.1.mscx	False	38-86 (D2-D6)	musicxml	Piano	62-86 (D4-D6)	Piano	38-65 (D2-F4)
